Key Financial Ratios of APL Apollo Tubes (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of APL Apollo Tubes (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of APL Apollo Tubes (in Rs. Cr.),Mar-14,Mar-13,Mar-12,Mar-11,Mar-10,,Key Financial Ratios of APL Apollo Tubes (in Rs. Cr.),Mar-09,Mar-08,Mar-07,Mar-06,Mar-05,
Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,
Basic EPS (Rs.),16.36,18.47,11.49,12.34,46.96,,Basic EPS (Rs.),53.25,47.63,37.53,13.15,13.42,,Basic EPS (Rs.),11.38,15.89,14.13,12.5,8.49,,Basic EPS (Rs.),0.03,14.27,21.1,4.48,2.25,
Diluted EPS (Rs.),16.36,18.45,11.49,12.3,46.55,,Diluted EPS (Rs.),52.65,46.76,36.72,13.15,13.42,,Diluted EPS (Rs.),11.38,15.12,12.27,11.57,8.49,,Diluted EPS (Rs.),0.03,14.27,21.1,4.48,2.25,
Cash EPS (Rs.),19.96,22.15,14.31,17.77,73.95,,Cash EPS (Rs.),75.27,66.02,54.3,21.12,18.54,,Cash EPS (Rs.),15.38,19.05,16.44,14.83,9.8,,Cash EPS (Rs.),0.66,15.14,23.25,6.26,3.53,
Book Value [ExclRevalReserve]/Share (Rs.),104.1,92.7,69.72,116,512.76,,Book Value [ExclRevalReserve]/Share (Rs.),422.55,381.62,343.68,148.14,145.83,,Book Value [ExclRevalReserve]/Share (Rs.),138.88,134.75,125.13,110.39,96.66,,Book Value [ExclRevalReserve]/Share (Rs.),90.51,56.87,48.52,28.73,24.25,
Book Value [InclRevalReserve]/Share (Rs.),104.1,92.7,69.72,116,512.76,,Book Value [InclRevalReserve]/Share (Rs.),422.55,381.62,343.68,148.14,145.83,,Book Value [InclRevalReserve]/Share (Rs.),138.88,134.75,125.13,110.39,96.66,,Book Value [InclRevalReserve]/Share (Rs.),90.51,56.87,48.52,28.73,24.25,
Dividend / Share(Rs.),5.5,5,3.5,0,0,,Dividend / Share(Rs.),14,14,12,10,6,,Dividend / Share(Rs.),5,5,2,2,2,,Dividend / Share(Rs.),0,0,1,0,0,
Revenue from Operations/Share (Rs.),499.33,514.85,362.06,481.02,"2,384.72",,Revenue from Operations/Share (Rs.),"2,460.57","1,827.14","1,316.80","1,277.99",860.58,,Revenue from Operations/Share (Rs.),877.73,720.8,509.14,290.3,186.13,,Revenue from Operations/Share (Rs.),191.51,259.88,629.17,464.6,360.57,
PBDIT/Share (Rs.),27.47,30.26,19.71,26.27,106.49,,PBDIT/Share (Rs.),138.29,113.94,95.79,57.38,45.35,,PBDIT/Share (Rs.),40.75,42.47,34.23,28.68,19.57,,PBDIT/Share (Rs.),6.31,27.39,43.77,15.79,11.05,
PBIT/Share (Rs.),23.86,26.56,16.87,20.81,78.78,,PBIT/Share (Rs.),116.02,95.4,78.94,49.41,40.23,,PBIT/Share (Rs.),36.54,38.94,31.3,26.36,18.35,,PBIT/Share (Rs.),5.68,26.52,41.63,14.02,9.82,
PBT/Share (Rs.),22.04,24.85,15.38,16.41,45.75,,PBT/Share (Rs.),73.52,65.72,52.32,17.82,18.87,,PBT/Share (Rs.),16.76,24.44,20.2,18.48,12.69,,PBT/Share (Rs.),1.58,22.05,32.23,7.25,5.38,
Net Profit/Share (Rs.),16.35,18.46,11.47,12.31,46.24,,Net Profit/Share (Rs.),52.99,47.49,37.44,13.15,13.42,,Net Profit/Share (Rs.),11.17,15.52,13.5,12.5,8.49,,Net Profit/Share (Rs.),0.03,14.27,21.1,4.48,2.25,
Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,
PBDIT Margin (%),5.5,5.87,5.44,5.46,4.46,,PBDIT Margin (%),5.62,6.23,7.27,4.48,5.27,,PBDIT Margin (%),4.64,5.89,6.72,9.88,10.51,,PBDIT Margin (%),3.29,10.53,6.95,3.39,3.06,
PBIT Margin (%),4.77,5.15,4.65,4.32,3.3,,PBIT Margin (%),4.71,5.22,5.99,3.86,4.67,,PBIT Margin (%),4.16,5.4,6.14,9.07,9.85,,PBIT Margin (%),2.96,10.2,6.61,3.01,2.72,
PBT Margin (%),4.41,4.82,4.24,3.41,1.91,,PBT Margin (%),2.98,3.59,3.97,1.39,2.19,,PBT Margin (%),1.9,3.39,3.96,6.36,6.81,,PBT Margin (%),0.82,8.48,5.12,1.55,1.49,
Net Profit Margin (%),3.27,3.58,3.16,2.55,1.93,,Net Profit Margin (%),2.15,2.59,2.84,1.02,1.55,,Net Profit Margin (%),1.27,2.15,2.65,4.3,4.56,,Net Profit Margin (%),0.01,5.49,3.35,0.96,0.62,
Return on Networth / Equity (%),15.7,19.91,16.45,10.61,9.01,,Return on Networth / Equity (%),12.54,12.44,10.89,8.87,9.2,,Return on Networth / Equity (%),8.04,11.51,10.79,11.32,8.78,,Return on Networth / Equity (%),0.03,25.09,43.48,15.59,9.26,
Return on Capital Employed (%),21.2,25.99,20.52,14.35,11.86,,Return on Capital Employed (%),21.34,20.7,18.98,21.48,6.67,,Return on Capital Employed (%),5.75,9.2,8.59,9.74,8.25,,Return on Capital Employed (%),0.03,17.63,23.05,7.94,2.36,
Return on Assets (%),9.88,11.36,8.95,5.45,4.46,,Return on Assets (%),4.9,5.25,4.8,2.88,3.71,,Return on Assets (%),3.16,4.72,5.17,5.55,5.07,,Return on Assets (%),0.01,9.14,8.37,2.77,1.77,
Total Debt/Equity (X),0.05,0.16,0.22,0.3,0.38,,Total Debt/Equity (X),0.59,0.71,0.54,1.22,1.04,,Total Debt/Equity (X),1.09,0.99,0.72,0.74,0.55,,Total Debt/Equity (X),0.75,1.11,2.92,3.01,2.74,
Asset Turnover Ratio (%),3.05,3.7,3.01,213.05,230.37,,Asset Turnover Ratio (%),227.68,202.36,168.98,280.44,238.23,,Asset Turnover Ratio (%),248.95,219.46,195.05,129.04,111.19,,Asset Turnover Ratio (%),113.88,166.56,249.62,287.51,285.29,
Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,
