Key Financial Ratios of Ashok Leyland (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of Ashok Leyland (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of Ashok Leyland (in Rs. Cr.),Mar-14,Mar-13,Mar-12,Mar-11,Mar-10,,Key Financial Ratios of Ashok Leyland (in Rs. Cr.),Mar-09,Mar-08,Mar-07,Mar-06,Mar-05,
Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,
Basic EPS (Rs.),8.92,4.7,1.85,-1.07,0.82,,Basic EPS (Rs.),6.76,5.87,4.24,1.37,1.2,,Basic EPS (Rs.),0.11,1.63,2.13,2.37,3.18,,Basic EPS (Rs.),1.43,3.53,3.36,2.68,2.18,
Diluted EPS (Rs.),8.9,4.7,1.85,-1.07,0.82,,Diluted EPS (Rs.),6.76,5.85,4.24,1.37,1.2,,Diluted EPS (Rs.),0.11,1.63,2.13,2.37,3.18,,Diluted EPS (Rs.),1.43,3.53,3.36,2.68,2.18,
Cash EPS (Rs.),11.36,7.19,4.41,1.48,3.1,,Cash EPS (Rs.),8.87,7.91,6.12,3.08,2.64,,Cash EPS (Rs.),1.53,3.06,3.45,6.76,4.72,,Cash EPS (Rs.),2.77,4.86,4.5,3.71,3.2,
Book Value [ExclRevalReserve]/Share (Rs.),30.01,28.7,24.99,23.77,24.75,,Book Value [ExclRevalReserve]/Share (Rs.),28.39,24.75,21.53,19,14.4,,Book Value [ExclRevalReserve]/Share (Rs.),12.3,11.87,10.88,19.97,17.46,,Book Value [ExclRevalReserve]/Share (Rs.),15.85,15.99,14.14,11.37,9.61,
Book Value [InclRevalReserve]/Share (Rs.),30.01,28.7,24.99,23.77,24.75,,Book Value [InclRevalReserve]/Share (Rs.),28.39,24.75,21.53,19,17.99,,Book Value [InclRevalReserve]/Share (Rs.),16.72,16.74,15.82,29.79,27.48,,Book Value [InclRevalReserve]/Share (Rs.),26.11,16.15,14.31,11.56,9.82,
Dividend / Share(Rs.),4.95,2.6,1,0.6,0.5,,Dividend / Share(Rs.),3.1,2.43,1.56,0.95,0.45,,Dividend / Share(Rs.),0,0.6,1,2,1.5,,Dividend / Share(Rs.),1,1.5,1.5,1.2,1,
Revenue from Operations/Share (Rs.),130.66,123.1,73.88,52.13,59.5,,Revenue from Operations/Share (Rs.),98.98,90.04,70.77,66.54,47.66,,Revenue from Operations/Share (Rs.),37.37,46.91,48.27,84.02,55.9,,Revenue from Operations/Share (Rs.),46.37,59.93,55.59,43.88,35.9,
PBDIT/Share (Rs.),16.53,10.38,3.65,2.23,4.42,,PBDIT/Share (Rs.),11.06,10.8,8.22,8.34,4.04,,PBDIT/Share (Rs.),0.88,3.53,4.87,9.46,6.37,,PBDIT/Share (Rs.),4.09,6.76,5.94,4.8,4.16,
PBIT/Share (Rs.),14.08,7.88,1.08,-0.32,2.14,,PBIT/Share (Rs.),8.94,8.75,6.4,6.62,2.58,,PBIT/Share (Rs.),-0.54,2.1,3.55,7.45,4.83,,PBIT/Share (Rs.),2.75,5.43,4.81,3.77,3.14,
