Key Financial Ratios of BLS International Services (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of BLS International Services (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,
Per Share Ratios,,,,,,,Per Share Ratios,,,,,,
Basic EPS (Rs.),0.9,1,1.57,2.03,2.25,,Basic EPS (Rs.),1.3,1.03,0.31,1.18,0.68,
Diluted EPS (Rs.),0.9,1,1.57,2.03,2.25,,Diluted EPS (Rs.),1.3,1.03,0.31,1.18,0.68,
Cash EPS (Rs.),1.05,1.07,1.76,2.22,2.44,,Cash EPS (Rs.),1.44,1.27,4.63,1.18,0.68,
Book Value [ExclRevalReserve]/Share (Rs.),2.17,1.9,5.77,5.44,4.06,,Book Value [ExclRevalReserve]/Share (Rs.),3.3,2.47,17.57,13.95,12.77,
Book Value [InclRevalReserve]/Share (Rs.),2.17,1.9,5.77,5.44,4.06,,Book Value [InclRevalReserve]/Share (Rs.),3.3,2.47,17.57,13.95,12.77,
Dividend / Share(Rs.),1,0.75,1.25,0.5,1,,Dividend / Share(Rs.),1,0.5,3.5,0,0,
Revenue from Operations/Share (Rs.),2.88,2.11,3.93,1.98,5.19,,Revenue from Operations/Share (Rs.),5.05,3.99,23.52,15.51,13.3,
PBDIT/Share (Rs.),1.17,1.2,1.89,2.52,3.13,,PBDIT/Share (Rs.),2.03,1.51,6.13,1.96,1.1,
PBIT/Share (Rs.),1.01,1.14,1.71,2.34,2.94,,PBIT/Share (Rs.),1.89,1.28,4.57,1.96,1.1,
PBT/Share (Rs.),0.98,1.13,1.7,2.32,2.88,,PBT/Share (Rs.),1.82,1.24,4.32,1.63,1.01,
Net Profit/Share (Rs.),0.9,1,1.57,2.03,2.25,,Net Profit/Share (Rs.),1.3,1.03,3.07,1.18,0.68,
Profitability Ratios,,,,,,,Profitability Ratios,,,,,,
PBDIT Margin (%),40.46,56.8,48.16,127.59,60.29,,PBDIT Margin (%),40.31,37.96,26.08,12.64,8.25,
PBIT Margin (%),35.14,53.8,43.46,118.15,56.68,,PBIT Margin (%),37.4,32.07,19.44,12.64,8.25,
PBT Margin (%),33.89,53.68,43.24,117.45,55.58,,PBT Margin (%),35.98,31.08,18.34,10.49,7.6,
Net Profit Margin (%),31.19,47.51,40.02,102.72,43.42,,Net Profit Margin (%),25.69,25.82,13.03,7.6,5.1,
Return on Networth / Equity (%),41.37,52.95,27.27,37.35,55.45,,Return on Networth / Equity (%),39.29,41.78,17.44,8.45,5.31,
Return on Capital Employed (%),38.73,58.84,29.02,42.14,71.08,,Return on Capital Employed (%),54.71,48.56,25.22,7.74,3.7,
Return on Assets (%),28.65,42.92,18.13,32.19,34.5,,Return on Assets (%),19.49,21.29,11.52,5.26,3.07,
Total Debt/Equity (X),0,0,0,0,0,,Total Debt/Equity (X),0.21,0.17,0.02,0.09,0.43,
Asset Turnover Ratio (%),1.05,0.94,0.52,31.33,79.45,,Asset Turnover Ratio (%),75.89,82.43,88.39,69.24,60.3,
Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,
Current Ratio (X),2.72,2.94,1.83,6.42,2.31,,Current Ratio (X),1.78,1.72,2.16,0.44,0.63,
Quick Ratio (X),2.72,2.94,1.83,6.42,2.31,,Quick Ratio (X),1.78,1.72,2.16,0.44,0.63,
Inventory Turnover Ratio (X),0,0,0,0,0,,Inventory Turnover Ratio (X),0,0,0,0,0,
Dividend Payout Ratio (NP) (%),83.43,62.23,79.46,36.92,66.81,,Dividend Payout Ratio (NP) (%),0,0,19.63,0,0,
Dividend Payout Ratio (CP) (%),71.27,58.53,71.12,33.81,61.69,,Dividend Payout Ratio (CP) (%),0,0,13,0,0,
Earnings Retention Ratio (%),16.57,37.77,20.54,63.08,33.19,,Earnings Retention Ratio (%),0,0,80.37,0,0,
Cash Earnings Retention Ratio (%),28.73,41.47,28.88,66.19,38.31,,Cash Earnings Retention Ratio (%),0,0,87,0,0,
Valuation Ratios,,,,,,,Valuation Ratios,,,,,,
Enterprise Value (Cr.),"12,914.75","6,769.60","2,354.73",934.25,285.23,,Enterprise Value (Cr.),"1,165.80","1,183.15","1,735.36",0,0,
EV/Net Operating Revenue (X),108.85,77.97,58.48,46.12,5.37,,EV/Net Operating Revenue (X),22.55,28.94,72.02,0,0,
EV/EBITDA (X),269.01,137.25,121.42,36.14,8.9,,EV/EBITDA (X),55.94,76.23,276.1,0,0,
MarketCap/Net Operating Revenue (X),109.02,78.33,59.38,46.68,5.63,,MarketCap/Net Operating Revenue (X),22.67,28.98,72.21,0,0,
Retention Ratios (%),16.56,37.76,20.53,63.07,33.18,,Retention Ratios (%),0,0,80.36,0,0,
Price/BV (X),144.59,87.31,40.47,16.98,7.19,,Price/BV (X),34.68,46.88,96.66,0,0,
Price/Net Operating Revenue,109.03,78.33,59.38,46.68,5.63,,Price/Net Operating Revenue,22.67,28.98,72.21,0,0,
Earnings Yield,0,0.01,0.01,0.02,0.08,,Earnings Yield,0.01,0.01,0,0,0,
