Key Financial Ratios of Cochin Shipyard (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of Cochin Shipyard (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of Cochin Shipyard (in Rs. Cr.),Mar-14,Mar-13,Mar-12,Mar-11,Mar-10,,Key Financial Ratios of Cochin Shipyard (in Rs. Cr.),Mar-09,,,,,
Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,
Basic EPS (Rs.),30.91,25.43,44.59,46.38,48.48,,Basic EPS (Rs.),35.72,31.03,28.39,25.75,20.75,,Basic EPS (Rs.),17.15,16.35,15.21,20.09,19.69,,Basic EPS (Rs.),14.13,,,,,
Diluted EPS (Rs.),30.91,25.43,44.59,46.38,48.48,,Diluted EPS (Rs.),35.75,31.03,28.39,25.75,20.75,,Diluted EPS (Rs.),17.15,16.35,15.21,20.09,19.69,,Diluted EPS (Rs.),14.13,,,,,
Cash EPS (Rs.),33.07,29.32,48.85,50.42,52.18,,Cash EPS (Rs.),39.18,31.95,31.78,29.04,24.13,,Cash EPS (Rs.),19.51,18.05,16.81,21.64,21.04,,Cash EPS (Rs.),15,,,,,
Book Value [ExclRevalReserve]/Share (Rs.),191.04,336.28,331.39,302.38,283.7,,Book Value [ExclRevalReserve]/Share (Rs.),253.31,239.51,179.08,161.03,137.81,,Book Value [ExclRevalReserve]/Share (Rs.),119.4,103.79,89.31,78.45,53.3,,Book Value [ExclRevalReserve]/Share (Rs.),0.32,,,,,
Book Value [InclRevalReserve]/Share (Rs.),191.04,336.28,331.39,302.38,283.7,,Book Value [InclRevalReserve]/Share (Rs.),253.31,239.51,179.08,161.03,137.81,,Book Value [InclRevalReserve]/Share (Rs.),119.4,103.79,89.31,78.45,53.3,,Book Value [InclRevalReserve]/Share (Rs.),0.32,,,,,
Dividend / Share(Rs.),9.75,17,16.75,15.5,16.63,,Dividend / Share(Rs.),13,12,0,1.5,1.5,,Dividend / Share(Rs.),1.5,1.5,1,1,1,,Dividend / Share(Rs.),1,,,,,
Revenue from Operations/Share (Rs.),138.56,177.17,242.51,214.3,260.19,,Revenue from Operations/Share (Rs.),225.19,173.25,181.75,175.67,164.15,,Revenue from Operations/Share (Rs.),144.55,137.2,124.02,129.4,124.49,,Revenue from Operations/Share (Rs.),111.15,,,,,
PBDIT/Share (Rs.),44.93,35.85,68.19,69.49,72.73,,PBDIT/Share (Rs.),60.81,48.09,47.89,44.03,37.45,,PBDIT/Share (Rs.),29.79,28.06,25.09,34.5,30.7,,PBDIT/Share (Rs.),24.26,,,,,
PBIT/Share (Rs.),42.77,31.96,63.92,65.46,69.03,,PBIT/Share (Rs.),58.21,45.34,44.49,40.75,34.06,,PBIT/Share (Rs.),27.43,26.37,23.49,32.95,29.35,,PBIT/Share (Rs.),23.4,,,,,
PBT/Share (Rs.),41.57,34.1,60.39,61.62,65.64,,PBT/Share (Rs.),57.12,44.5,43.56,39.69,32.45,,PBT/Share (Rs.),25.68,24.32,22.33,30.62,27.74,,PBT/Share (Rs.),21.72,,,,,
Net Profit/Share (Rs.),30.91,25.43,44.59,46.38,48.48,,Net Profit/Share (Rs.),36.58,29.19,28.39,25.75,20.75,,Net Profit/Share (Rs.),17.15,16.35,15.21,20.09,19.69,,Net Profit/Share (Rs.),14.13,,,,,
Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,
PBDIT Margin (%),32.42,20.23,28.11,32.42,27.95,,PBDIT Margin (%),27,27.75,26.34,25.06,22.81,,PBDIT Margin (%),20.61,20.45,20.22,26.66,24.65,,PBDIT Margin (%),21.82,,,,,
PBIT Margin (%),30.86,18.04,26.35,30.54,26.53,,PBIT Margin (%),25.84,26.16,24.47,23.19,20.75,,PBIT Margin (%),18.97,19.21,18.94,25.46,23.57,,PBIT Margin (%),21.05,,,,,
PBT Margin (%),30,19.24,24.9,28.75,25.22,,PBT Margin (%),25.36,25.68,23.96,22.59,19.76,,PBT Margin (%),17.76,17.72,18,23.66,22.28,,PBT Margin (%),19.54,,,,,
Net Profit Margin (%),22.3,14.35,18.38,21.64,18.63,,Net Profit Margin (%),16.24,16.84,15.61,14.66,12.64,,Net Profit Margin (%),11.86,11.92,12.26,15.52,15.81,,Net Profit Margin (%),12.71,,,,,
Return on Networth / Equity (%),16.17,7.56,13.45,15.33,17.08,,Return on Networth / Equity (%),14.44,12.18,15.85,15.99,15.05,,Return on Networth / Equity (%),14.36,15.75,17.03,25.6,36.93,,Return on Networth / Equity (%),"4,437.64",,,,,
Return on Capital Employed (%),20.34,8.6,17.13,19.05,21.31,,Return on Capital Employed (%),21.98,18.1,14.77,14.81,13.77,,Return on Capital Employed (%),13.13,15.72,16.32,23.5,32.65,,Return on Capital Employed (%),71.52,,,,,
Return on Assets (%),6.84,3.37,7.05,8.24,9.95,,Return on Assets (%),9.17,7.24,9.69,8.71,7.79,,Return on Assets (%),7.19,7.77,6.62,8.89,9.19,,Return on Assets (%),6.23,,,,,
Total Debt/Equity (X),0,0.03,0.03,0.03,0.03,,Total Debt/Equity (X),0.04,0.04,0.06,0.07,0.08,,Total Debt/Equity (X),0.25,0,0,0,0,,Total Debt/Equity (X),28.02,,,,,
Asset Turnover Ratio (%),0.33,0.26,0.41,38.09,53.43,,Asset Turnover Ratio (%),56.49,42.99,62.07,59.42,61.67,,Asset Turnover Ratio (%),60.62,65.23,53.98,57.33,58.11,,Asset Turnover Ratio (%),49.03,,,,,
Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,
Current Ratio (X),1.32,1.39,1.69,1.73,2.05,,Current Ratio (X),2.31,2.33,2.46,1.95,1.94,,Current Ratio (X),1.82,1.6,1.47,1.45,1.22,,Current Ratio (X),0.99,,,,,
Quick Ratio (X),1.17,1.32,1.6,1.58,1.91,,Quick Ratio (X),2.15,2.18,2.3,1.78,1.71,,Quick Ratio (X),1.5,1.3,1.24,1.3,1.03,,Quick Ratio (X),0.81,,,,,
Inventory Turnover Ratio (X),2.48,3.41,4.44,6.52,10.92,,Inventory Turnover Ratio (X),10.45,7.49,11.04,8.59,6.14,,Inventory Turnover Ratio (X),4.13,4.36,3.88,6.24,4.16,,Inventory Turnover Ratio (X),2.94,,,,,
Dividend Payout Ratio (NP) (%),29.11,69.8,34.75,60.36,30.17,,Dividend Payout Ratio (NP) (%),35.53,30.82,32.43,5.82,7.22,,Dividend Payout Ratio (NP) (%),8.74,9.17,11.45,4.97,5.07,,Dividend Payout Ratio (NP) (%),7.07,,,,,
Dividend Payout Ratio (CP) (%),27.21,60.54,31.72,55.53,28.03,,Dividend Payout Ratio (CP) (%),33.18,28.16,28.96,5.16,6.21,,Dividend Payout Ratio (CP) (%),7.68,8.3,10.36,4.62,4.75,,Dividend Payout Ratio (CP) (%),6.66,,,,,
Earnings Retention Ratio (%),70.89,30.2,65.25,39.64,69.83,,Earnings Retention Ratio (%),64.47,69.18,67.57,94.18,92.78,,Earnings Retention Ratio (%),91.26,90.83,88.55,95.03,94.93,,Earnings Retention Ratio (%),92.93,,,,,
