Key Financial Ratios of Escorts Kubota (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of Escorts Kubota (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of Escorts Kubota (in Rs. Cr.),Mar-14,Sep-12,Sep-11,Sep-10,Sep-09,,Key Financial Ratios of Escorts Kubota (in Rs. Cr.),Sep-08,Sep-07,Sep-06,Sep-05,Jun-04,
Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,
Basic EPS (Rs.),92.79,46.74,58.91,68.14,40.63,,Basic EPS (Rs.),40.48,28.85,13.43,7.49,6.26,,Basic EPS (Rs.),20.53,5.84,11.74,13.45,9.89,,Basic EPS (Rs.),1.31,-0.77,2.63,5.41,-43.41,
Diluted EPS (Rs.),92.64,46.68,58.71,68.05,40.63,,Diluted EPS (Rs.),40.48,28.85,13.43,7.49,6.26,,Diluted EPS (Rs.),20.53,5.84,11.66,13.45,9.89,,Diluted EPS (Rs.),1.31,-0.77,2.63,5.41,-43.41,
Cash EPS (Rs.),108.92,57.25,67.86,73.41,48.14,,Cash EPS (Rs.),46.52,34.03,18.23,12.52,11.8,,Cash EPS (Rs.),27.51,9.9,15.45,17.28,14.4,,Cash EPS (Rs.),6.37,5,8.6,13.3,-35.08,
Book Value [ExclRevalReserve]/Share (Rs.),833.82,639.29,597.1,399.88,283.9,,Book Value [ExclRevalReserve]/Share (Rs.),246.6,207.87,162.44,153.79,147.55,,Book Value [ExclRevalReserve]/Share (Rs.),150.52,131.44,170.46,163.61,150.94,,Book Value [ExclRevalReserve]/Share (Rs.),81.16,77.32,74.76,72.13,66.72,
Book Value [InclRevalReserve]/Share (Rs.),833.82,639.29,597.1,399.88,283.9,,Book Value [InclRevalReserve]/Share (Rs.),246.6,207.87,162.44,156.82,150.58,,Book Value [InclRevalReserve]/Share (Rs.),153.55,135.32,175.79,169.91,159.21,,Book Value [InclRevalReserve]/Share (Rs.),132.58,133.7,141.02,85.58,82.14,
Dividend / Share(Rs.),18,7,7,7.5,2.5,,Dividend / Share(Rs.),2.5,2,1.5,1.2,1.2,,Dividend / Share(Rs.),1.8,1.2,1.5,1.5,1,,Dividend / Share(Rs.),0,0,0,0,0,
Revenue from Operations/Share (Rs.),794.28,632.48,542.12,513.93,469.97,,Revenue from Operations/Share (Rs.),505.5,407.5,333.92,290.83,334.13,,Revenue from Operations/Share (Rs.),527.5,326.48,316.5,270.16,240.17,,Revenue from Operations/Share (Rs.),221.81,249.97,245.41,179.78,154.66,
PBDIT/Share (Rs.),141.82,80.41,88.25,95.22,62.66,,PBDIT/Share (Rs.),66.42,50.3,29.95,18.24,18.61,,PBDIT/Share (Rs.),38.79,19.38,18.54,23.33,21.49,,PBDIT/Share (Rs.),15.26,12.49,23.43,33.3,-33.43,
PBIT/Share (Rs.),126.75,69.16,78.41,86.63,54.13,,PBIT/Share (Rs.),59.45,44.39,24.81,13.21,13.08,,PBIT/Share (Rs.),31.81,15.32,14.83,19.56,17.32,,PBIT/Share (Rs.),10.53,7.12,17.96,25.99,-41.14,
