Key Financial Ratios of Garden Reach Shipbuilders & Engineers (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of Garden Reach Shipbuilders & Engineers (in Rs. Cr.),Mar-19,Mar-18,Mar-12,Mar-11,
Per Share Ratios,,,,,,,Per Share Ratios,,,,,
Basic EPS (Rs.),31.19,19.91,16.55,13.4,14.27,,Basic EPS (Rs.),9.6,7.6,87.23,93.44,
Diluted EPS (Rs.),31.19,19.91,16.55,13.4,14.27,,Diluted EPS (Rs.),9.6,7.6,87.23,93.44,
Cash EPS (Rs.),34.8,23.33,19.66,15.94,16.9,,Cash EPS (Rs.),11.96,10.59,97.59,101.88,
Book Value [ExclRevalReserve]/Share (Rs.),146.09,123.42,109.81,99.27,90.81,,Book Value [ExclRevalReserve]/Share (Rs.),90.64,89.18,615.75,551.77,
Book Value [InclRevalReserve]/Share (Rs.),146.09,123.42,109.81,99.27,90.81,,Book Value [InclRevalReserve]/Share (Rs.),90.64,89.18,615.75,551.77,
Dividend / Share(Rs.),9.36,6.2,5.8,5,7.14,,Dividend / Share(Rs.),6.95,4.44,20,20,
Revenue from Operations/Share (Rs.),313.63,223.58,153.42,99.59,125.12,,Revenue from Operations/Share (Rs.),121.03,117.65,"1,044.00",845.42,
PBDIT/Share (Rs.),46.59,30.63,26.31,22.67,23.21,,PBDIT/Share (Rs.),18.63,14.35,148.4,129.16,
PBIT/Share (Rs.),42.99,27.21,23.19,20.13,20.59,,PBIT/Share (Rs.),16.26,11.82,138.03,120.71,
PBT/Share (Rs.),41.98,26.64,22.46,18.08,19.54,,PBT/Share (Rs.),15.62,11.15,136.74,131.43,
Net Profit/Share (Rs.),31.19,19.91,16.55,13.4,14.27,,Net Profit/Share (Rs.),9.6,8.07,87.23,93.43,
Profitability Ratios,,,,,,,Profitability Ratios,,,,,
PBDIT Margin (%),14.85,13.69,17.14,22.76,18.55,,PBDIT Margin (%),15.38,12.19,14.21,15.27,
PBIT Margin (%),13.7,12.17,15.11,20.21,16.45,,PBIT Margin (%),13.43,10.04,13.22,14.27,
PBT Margin (%),13.38,11.91,14.63,18.15,15.61,,PBT Margin (%),12.9,9.47,13.09,15.54,
Net Profit Margin (%),9.94,8.9,10.78,13.45,11.4,,Net Profit Margin (%),7.92,6.85,8.35,11.05,
Return on Networth / Equity (%),21.34,16.13,15.06,13.49,15.71,,Return on Networth / Equity (%),10.58,9.04,14.16,16.93,
Return on Capital Employed (%),27.42,20.3,19.31,18.67,20.73,,Return on Capital Employed (%),16.6,12.29,22.08,21.5,
Return on Assets (%),3.48,2.11,2.48,2.26,3.03,,Return on Assets (%),2.62,2.13,2.14,3.17,
Total Debt/Equity (X),0.03,0.21,0,0,0,,Total Debt/Equity (X),0,0,0,0,
Asset Turnover Ratio (%),0.34,0.28,0.24,0.19,26.62,,Asset Turnover Ratio (%),33.08,31.2,25.7,28.68,
Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,
Current Ratio (X),1.12,1.07,0.93,0.99,1.13,,Current Ratio (X),1.16,0.78,1.1,1.12,
Quick Ratio (X),0.65,0.75,0.74,0.85,1.03,,Quick Ratio (X),1.05,0.62,0.32,0.34,
Inventory Turnover Ratio (X),0.6,0.73,0.95,0.73,3.25,,Inventory Turnover Ratio (X),3.97,2.63,0.39,0.45,
Dividend Payout Ratio (NP) (%),27.63,31.88,36.86,39.18,75.95,,Dividend Payout Ratio (NP) (%),78.94,70.43,22.92,21.4,
Dividend Payout Ratio (CP) (%),24.77,27.21,31.02,32.94,64.14,,Dividend Payout Ratio (CP) (%),63.34,53.62,20.49,19.62,
Earnings Retention Ratio (%),72.37,68.12,63.14,60.82,24.05,,Earnings Retention Ratio (%),21.06,29.57,77.08,78.6,
Cash Earnings Retention Ratio (%),75.23,72.79,68.98,67.06,35.86,,Cash Earnings Retention Ratio (%),36.66,46.38,79.51,80.38,
Valuation Ratios,,,,,,,Valuation Ratios,,,,,
Enterprise Value (Cr.),"5,099.62","1,190.64",36.61,-160.28,"-1,042.52",,Enterprise Value (Cr.),-873.09,0,0,0,
EV/Net Operating Revenue (X),1.42,0.46,0.02,-0.14,-0.73,,EV/Net Operating Revenue (X),-0.63,0,0,0,
EV/EBITDA (X),9.55,3.39,0.12,-0.62,-3.92,,EV/EBITDA (X),-4.09,0,0,0,
MarketCap/Net Operating Revenue (X),2.44,2.04,1.48,1.86,1.09,,MarketCap/Net Operating Revenue (X),0.81,0,0,0,
Retention Ratios (%),72.36,68.11,63.13,60.81,24.04,,Retention Ratios (%),21.05,29.56,77.07,78.59,
Price/BV (X),5.24,3.69,2.06,1.86,1.51,,Price/BV (X),1.08,0,0,0,
Price/Net Operating Revenue,2.44,2.04,1.48,1.86,1.09,,Price/Net Operating Revenue,0.81,0,0,0,
Earnings Yield,0.04,0.04,0.07,0.07,0.1,,Earnings Yield,0.1,0,0,0,
