Key Financial Ratios of HEG (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of HEG (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of HEG (in Rs. Cr.),Mar-14,Mar-13,Mar-12,Mar-11,Mar-10,,Key Financial Ratios of HEG (in Rs. Cr.),Mar-09,Mar-08,Mar-07,Mar-06,Mar-05,
Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,
Basic EPS (Rs.),59.99,118.02,101.2,-6.56,13.83,,Basic EPS (Rs.),763.6,270.61,-12.52,-1.92,9.76,,Basic EPS (Rs.),21.68,26.48,15.34,30.08,40.15,,Basic EPS (Rs.),25.13,33.02,18.32,9.66,10.21,
Diluted EPS (Rs.),59.99,118.02,101.2,-6.56,13.83,,Diluted EPS (Rs.),763.6,270.61,-12.52,-1.92,9.76,,Diluted EPS (Rs.),21.68,26.48,15.34,30.08,40.15,,Diluted EPS (Rs.),25.13,33.02,18.32,9.66,10.21,
Cash EPS (Rs.),105.24,144.53,121.74,12.39,32.52,,Cash EPS (Rs.),809.11,288.77,5.97,17.96,28.62,,Cash EPS (Rs.),39.86,42.15,30.09,43.45,52.45,,Cash EPS (Rs.),36.08,43.43,30.39,19.66,16.24,
Book Value [ExclRevalReserve]/Share (Rs.),"1,073.97","1,056.39",978.53,880.57,886.85,,Book Value [ExclRevalReserve]/Share (Rs.),963.57,452.61,218.17,230.48,235.42,,Book Value [ExclRevalReserve]/Share (Rs.),231.25,216.04,190.75,190.53,171.54,,Book Value [ExclRevalReserve]/Share (Rs.),135.36,119.08,88.85,79.51,73.28,
Book Value [InclRevalReserve]/Share (Rs.),"1,073.97","1,056.39",978.53,880.57,886.85,,Book Value [InclRevalReserve]/Share (Rs.),963.57,452.61,218.17,230.48,235.42,,Book Value [InclRevalReserve]/Share (Rs.),231.25,216.04,190.75,190.53,171.54,,Book Value [InclRevalReserve]/Share (Rs.),135.36,119.08,88.85,79.51,73.28,
Dividend / Share(Rs.),22.5,42.5,40,3,25,,Dividend / Share(Rs.),80,80,0,0,3,,Dividend / Share(Rs.),6,8,5,10,10,,Dividend / Share(Rs.),6.5,10,5,3,3,
Revenue from Operations/Share (Rs.),620.51,639.25,570.43,325.48,556.8,,Revenue from Operations/Share (Rs.),"1,708.17",688.21,215.23,217.6,310.44,,Revenue from Operations/Share (Rs.),367.07,406.06,356.36,259.92,292.69,,Revenue from Operations/Share (Rs.),241.14,238.37,230.48,149.1,122.91,
PBDIT/Share (Rs.),136.19,188.82,157.21,13.92,35.74,,PBDIT/Share (Rs.),"1,235.22",433.93,21.99,35.18,51.96,,PBDIT/Share (Rs.),67.01,76.76,64.72,57.61,82.05,,PBDIT/Share (Rs.),63.38,64.79,49.15,29.24,20.05,
PBIT/Share (Rs.),90.94,162.32,136.67,-5.02,17.05,,PBIT/Share (Rs.),"1,216.46",415.77,3.49,15.33,33.1,,PBIT/Share (Rs.),48.82,61.08,50.22,44.24,69.99,,PBIT/Share (Rs.),52.68,54.62,37.33,19.41,14.02,
