Key Financial Ratios of J. K. Cement (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of J. K. Cement (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of J. K. Cement (in Rs. Cr.),Mar-14,Mar-13,Mar-12,Mar-11,Mar-10,,Key Financial Ratios of J. K. Cement (in Rs. Cr.),Mar-09,Mar-08,Mar-07,Mar-06,Mar-05
Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,
Basic EPS (Rs.),107.5,72.8,81.62,78.02,51.82,,Basic EPS (Rs.),45.28,48.89,30.14,14.52,22.44,,Basic EPS (Rs.),13.88,33.4,25.36,9.16,32.32,,Basic EPS (Rs.),20.36,37.92,25.54,4.66,1.26
Diluted EPS (Rs.),107.5,72.8,81.62,78.02,51.82,,Diluted EPS (Rs.),45.28,48.89,30.14,14.52,22.44,,Diluted EPS (Rs.),13.88,33.4,25.36,9.16,32.32,,Diluted EPS (Rs.),20.36,37.92,25.54,4.66,1.26
Cash EPS (Rs.),170.38,119.58,118.12,109.68,79.56,,Cash EPS (Rs.),67.2,75.53,55.33,36.87,41.98,,Cash EPS (Rs.),33.03,51.74,43.32,25.28,44.55,,Cash EPS (Rs.),27.85,43.79,30.28,9.09,3.78
Book Value [ExclRevalReserve]/Share (Rs.),692.82,608.46,550.25,483.13,404.94,,Book Value [ExclRevalReserve]/Share (Rs.),374.38,307.08,267.64,245.17,235.46,,Book Value [ExclRevalReserve]/Share (Rs.),220.71,210.24,184.32,163.92,155.66,,Book Value [ExclRevalReserve]/Share (Rs.),129.88,109,73.7,50.9,11.27
Book Value [InclRevalReserve]/Share (Rs.),692.82,608.46,550.25,483.13,404.94,,Book Value [InclRevalReserve]/Share (Rs.),374.38,307.08,267.64,245.17,235.46,,Book Value [InclRevalReserve]/Share (Rs.),251.47,242.74,218.66,200.07,193.59,,Book Value [InclRevalReserve]/Share (Rs.),169.61,150.63,117.28,96.42,78.78
Dividend / Share(Rs.),20,15,15,15,7.5,,Dividend / Share(Rs.),10,10,8,4,4,,Dividend / Share(Rs.),3,6.5,5,2,6,,Dividend / Share(Rs.),3.5,5,3.5,1.5,0
Revenue from Operations/Share (Rs.),"1,412.97","1,164.59",993.76,819,707.12,,Revenue from Operations/Share (Rs.),644.68,656.57,537.06,509.15,478.87,,Revenue from Operations/Share (Rs.),399.82,416.43,364.21,299.5,293.61,,Revenue from Operations/Share (Rs.),238.02,228.17,192.15,134.4,71.09
PBDIT/Share (Rs.),277,184.06,210.29,210.6,164.03,,PBDIT/Share (Rs.),115.19,127.03,113.37,81.37,73.67,,PBDIT/Share (Rs.),60.47,87.05,80.58,44,65.75,,PBDIT/Share (Rs.),48.79,62.77,51.2,20.23,9.54
PBIT/Share (Rs.),214.12,137.28,173.79,178.93,136.28,,PBIT/Share (Rs.),90.03,100.4,88.19,59.02,54.14,,PBIT/Share (Rs.),41.31,68.71,62.62,27.88,53.52,,PBIT/Share (Rs.),41.29,56.9,46.45,15.79,7.02
PBT/Share (Rs.),156.9,103.57,124.7,128.45,84.38,,PBT/Share (Rs.),61.29,62.88,46.4,20.47,22.76,,PBT/Share (Rs.),19.49,48.71,40.87,11.97,43.59,,PBT/Share (Rs.),33.47,49.57,38.9,7.47,2.16
Net Profit/Share (Rs.),107.5,72.8,81.62,78.02,51.82,,Net Profit/Share (Rs.),42.05,48.89,30.14,14.52,22.44,,Net Profit/Share (Rs.),13.88,33.4,25.36,9.16,32.32,,Net Profit/Share (Rs.),20.36,37.92,25.54,4.66,1.26
Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,
PBDIT Margin (%),19.6,15.8,21.16,25.71,23.19,,PBDIT Margin (%),17.86,19.34,21.1,15.98,15.38,,PBDIT Margin (%),15.12,20.9,22.12,14.69,22.39,,PBDIT Margin (%),20.49,27.5,26.64,15.05,13.41
PBIT Margin (%),15.15,11.78,17.48,21.84,19.27,,PBIT Margin (%),13.96,15.29,16.41,11.59,11.3,,PBIT Margin (%),10.33,16.49,17.19,9.3,18.22,,PBIT Margin (%),17.34,24.93,24.17,11.74,9.87
PBT Margin (%),11.1,8.89,12.54,15.68,11.93,,PBT Margin (%),9.5,9.57,8.63,4.02,4.75,,PBT Margin (%),4.87,11.69,11.22,3.99,14.84,,PBT Margin (%),14.06,21.72,20.24,5.56,3.04
Net Profit Margin (%),7.6,6.25,8.21,9.52,7.32,,Net Profit Margin (%),6.52,7.44,5.61,2.85,4.68,,Net Profit Margin (%),3.47,8.02,6.96,3.05,11,,Net Profit Margin (%),8.55,16.61,13.29,3.46,1.77
Return on Networth / Equity (%),15.51,11.96,14.83,16.14,12.79,,Return on Networth / Equity (%),11.23,15.92,11.26,5.92,9.53,,Return on Networth / Equity (%),6.28,15.88,13.75,5.58,20.76,,Return on Networth / Equity (%),15.67,34.79,34.65,9.15,11.19
Return on Capital Employed (%),14.7,12.29,16.75,18.57,16.88,,Return on Capital Employed (%),12.62,14.6,13.11,2.25,3.71,,Return on Capital Employed (%),2.35,7.78,6.23,2.33,8.91,,Return on Capital Employed (%),7.94,17.4,13.13,2.64,0.66
Return on Assets (%),5.81,5.16,6.09,6.57,5.09,,Return on Assets (%),4.67,5.71,3.6,1.78,2.93,,Return on Assets (%),1.9,5.98,4.95,1.88,7.52,,Return on Assets (%),6.53,13.81,10.85,2.18,0.52
Total Debt/Equity (X),0.97,0.68,0.76,0.75,0.77,,Total Debt/Equity (X),0.73,1.02,1.31,1.46,1.47,,Total Debt/Equity (X),1.42,0.78,0.84,0.98,0.94,,Total Debt/Equity (X),0.58,0.63,1.02,1.56,9.85
Asset Turnover Ratio (%),0.87,0.85,0.79,69.01,69.55,,Asset Turnover Ratio (%),71.7,76.72,64.27,62.69,62.61,,Asset Turnover Ratio (%),54.79,74.62,71.13,61.55,68.39,,Asset Turnover Ratio (%),76.45,83.09,81.65,63.17,29.41
Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,
Current Ratio (X),1.34,1.24,1.37,1.72,1.31,,Current Ratio (X),1.32,1.32,1.18,1.29,1.22,,Current Ratio (X),1.32,1.15,1.47,1.41,1.46,,Current Ratio (X),2.33,1.69,1.86,2,1.02
Quick Ratio (X),0.99,0.9,0.89,1.33,0.92,,Quick Ratio (X),0.93,0.87,0.75,0.89,0.77,,Quick Ratio (X),0.77,0.63,0.98,0.92,0.95,,Quick Ratio (X),1.97,1.4,1.48,1.67,0.77
Inventory Turnover Ratio (X),1.75,1.39,1.28,9.22,8.71,,Inventory Turnover Ratio (X),8.93,8.64,7.54,7.51,6.57,,Inventory Turnover Ratio (X),5.16,6.31,7.02,6.52,8.64,,Inventory Turnover Ratio (X),12.23,13.93,12.21,11.19,5.33
Dividend Payout Ratio (NP) (%),13.95,20.6,18.37,0,33.77,,Dividend Payout Ratio (NP) (%),21.52,16.36,13.26,27.54,17.82,,Dividend Payout Ratio (NP) (%),21.62,19.46,19.71,21.83,18.56,,Dividend Payout Ratio (NP) (%),17.19,13.18,13.7,32.2,0
Dividend Payout Ratio (CP) (%),8.8,12.54,12.69,0,21.99,,Dividend Payout Ratio (CP) (%),13.46,10.59,7.22,10.84,9.52,,Dividend Payout Ratio (CP) (%),9.08,12.56,11.54,7.91,13.46,,Dividend Payout Ratio (CP) (%),12.56,11.41,11.55,16.49,0
Earnings Retention Ratio (%),86.05,79.4,81.63,0,66.23,,Earnings Retention Ratio (%),78.48,83.64,86.74,72.46,82.18,,Earnings Retention Ratio (%),78.38,80.54,80.29,78.17,81.44,,Earnings Retention Ratio (%),82.81,86.82,86.3,67.8,0
Cash Earnings Retention Ratio (%),91.2,87.46,87.31,0,78.01,,Cash Earnings Retention Ratio (%),86.54,89.41,92.78,89.16,90.48,,Cash Earnings Retention Ratio (%),90.92,87.44,88.46,92.09,86.54,,Cash Earnings Retention Ratio (%),87.44,88.59,88.45,83.51,0
Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,
Enterprise Value (Cr.),"35,902.12","25,230.58","21,732.20","23,987.51","9,051.38",,Enterprise Value (Cr.),"8,339.74","8,748.50","8,562.68","6,724.53","6,682.78",,Enterprise Value (Cr.),"3,517.16","2,661.36","1,771.98","1,773.02","2,139.47",,Enterprise Value (Cr.),679.18,"1,472.02","1,347.07","1,484.85",0
