Key Financial Ratios of The Ramco Cements (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of The Ramco Cements (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of The Ramco Cements (in Rs. Cr.),Mar-14,Mar-13,Mar-12,Mar-11,Mar-10,,Key Financial Ratios of The Ramco Cements (in Rs. Cr.),Mar-09,Mar-08,Mar-07,Mar-06,Mar-05
Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,
Basic EPS (Rs.),16.7,15,38,32,25,,Basic EPS (Rs.),21,23,27,23,10,,Basic EPS (Rs.),6,17,16,9,14.86,,Basic EPS (Rs.),15.28,343.02,255.03,65.43,46.3
Diluted EPS (Rs.),16.7,15,38,32,25,,Diluted EPS (Rs.),21,23,27,23,10,,Diluted EPS (Rs.),6,17,16,9,14.86,,Diluted EPS (Rs.),15.28,343.02,255.03,65.43,46.3
Cash EPS (Rs.),43.62,35.89,54.74,47.32,38.89,,Cash EPS (Rs.),34.14,35.99,39.22,34.66,20.67,,Cash EPS (Rs.),18.66,28.75,26.85,18.14,23.1,,Cash EPS (Rs.),21.06,421.38,314.56,119.4,98.74
Book Value [ExclRevalReserve]/Share (Rs.),302.33,287.5,276.13,238.52,208.77,,Book Value [ExclRevalReserve]/Share (Rs.),189.31,171.57,157.14,129.89,111.1,,Book Value [ExclRevalReserve]/Share (Rs.),104.29,99.61,86.15,72.88,65.48,,Book Value [ExclRevalReserve]/Share (Rs.),52.96,801.38,551.72,325.54,277.24
Book Value [InclRevalReserve]/Share (Rs.),302.33,287.5,276.13,238.52,208.77,,Book Value [InclRevalReserve]/Share (Rs.),189.31,171.57,157.14,129.89,111.1,,Book Value [InclRevalReserve]/Share (Rs.),104.29,99.61,86.15,72.88,65.48,,Book Value [InclRevalReserve]/Share (Rs.),52.96,801.38,551.72,325.54,277.24
Dividend / Share(Rs.),2.5,2,3,3,2.5,,Dividend / Share(Rs.),3,3,3,3,1.5,,Dividend / Share(Rs.),1,3,2.5,1.25,2,,Dividend / Share(Rs.),2,40,25,15,10
Revenue from Operations/Share (Rs.),395.68,344.28,253.07,223.33,227.86,,Revenue from Operations/Share (Rs.),218.43,187.03,165.88,151.02,153.08,,Revenue from Operations/Share (Rs.),154.77,160.96,136.84,109.93,117.96,,Revenue from Operations/Share (Rs.),106.28,"1,684.76","1,297.72",831.59,607.17
PBDIT/Share (Rs.),67.49,51.57,55.63,67.09,49.41,,PBDIT/Share (Rs.),44.77,48.22,52,48.31,33.6,,PBDIT/Share (Rs.),27.26,44.02,40.75,27.62,36.87,,PBDIT/Share (Rs.),33.34,639.99,466.59,178.56,132.49
PBIT/Share (Rs.),40.58,30.22,38.66,52.03,36.03,,PBIT/Share (Rs.),32.1,35.82,40.05,37.1,23.11,,PBIT/Share (Rs.),14.39,32.23,30.08,18.34,28.63,,PBIT/Share (Rs.),27.55,561.63,407.05,124.59,80.05
