Key Financial Ratios of Schneider Electric Infrastructure (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of Schneider Electric Infrastructure (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of Schneider Electric Infrastructure (in Rs. Cr.),Mar-14,Mar-13,Mar-12,Mar-11,
Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,
Basic EPS (Rs.),7.19,5.17,1.16,-0.04,-1.24,,Basic EPS (Rs.),-1.02,-2.72,-7.41,-0.89,-1.19,,Basic EPS (Rs.),-5.22,-1.19,1.66,-0.31,
Diluted EPS (Rs.),7.19,5.17,1.16,-0.04,-1.24,,Diluted EPS (Rs.),-1.02,-2.72,-7.41,-0.89,-1.19,,Diluted EPS (Rs.),-5.22,-1.19,1.66,-0.31,
Cash EPS (Rs.),8.12,5.95,1.88,0.88,-0.32,,Cash EPS (Rs.),0.06,-1.58,-6.21,0.32,-0.15,,Cash EPS (Rs.),-4.28,-0.1,2.56,-0.32,
Book Value [ExclRevalReserve]/Share (Rs.),8.02,1.95,-2.86,-4.22,-4.31,,Book Value [ExclRevalReserve]/Share (Rs.),0.98,2.2,4.78,2.8,3.56,,Book Value [ExclRevalReserve]/Share (Rs.),4.75,9.97,11.17,1.68,
Book Value [InclRevalReserve]/Share (Rs.),8.02,1.95,-2.86,-4.22,-4.31,,Book Value [InclRevalReserve]/Share (Rs.),0.98,2.2,4.78,2.8,3.56,,Book Value [InclRevalReserve]/Share (Rs.),4.75,9.97,11.17,1.68,
Dividend / Share(Rs.),0,0,0,0,0,,Dividend / Share(Rs.),0,0,0,0,0,,Dividend / Share(Rs.),0,0,0.4,0,
Revenue from Operations/Share (Rs.),92.29,74.33,64,54.25,57.9,,Revenue from Operations/Share (Rs.),58.15,54.95,52.83,58.66,54.8,,Revenue from Operations/Share (Rs.),50.84,54.8,56.43,0,
PBDIT/Share (Rs.),12.76,7.52,4.01,3.44,1.63,,PBDIT/Share (Rs.),3.09,0.24,-4.15,2.18,1.93,,PBDIT/Share (Rs.),-1.63,1.66,4.13,-0.36,
PBIT/Share (Rs.),11.84,6.75,3.29,2.52,0.72,,PBIT/Share (Rs.),2.01,-0.88,-5.3,1.1,0.89,,PBIT/Share (Rs.),-2.58,0.58,3.23,-0.36,
PBT/Share (Rs.),8.78,5.17,1.16,-0.04,-1.24,,PBT/Share (Rs.),-1.02,-2.7,-7.36,-0.76,-0.72,,PBT/Share (Rs.),-5.22,-1.17,2.56,-0.36,
Net Profit/Share (Rs.),7.19,5.17,1.16,-0.04,-1.24,,Net Profit/Share (Rs.),-1.02,-2.7,-7.36,-0.76,-1.19,,Net Profit/Share (Rs.),-5.22,-1.19,1.66,-0.32,
Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,
PBDIT Margin (%),13.82,10.12,6.27,6.34,2.81,,PBDIT Margin (%),5.3,0.43,-7.85,3.71,3.52,,PBDIT Margin (%),-3.19,3.03,7.31,0,
PBIT Margin (%),12.82,9.07,5.14,4.64,1.23,,PBIT Margin (%),3.45,-1.6,-10.02,1.87,1.63,,PBIT Margin (%),-5.06,1.05,5.71,0,
PBT Margin (%),9.51,6.95,1.8,-0.07,-2.13,,PBT Margin (%),-1.75,-4.92,-13.92,-1.29,-1.3,,PBT Margin (%),-10.27,-2.14,4.54,0,
Net Profit Margin (%),7.79,6.95,1.8,-0.07,-2.13,,Net Profit Margin (%),-1.75,-4.92,-13.92,-1.29,-2.17,,Net Profit Margin (%),-10.27,-2.17,2.94,0,
Return on Networth / Equity (%),89.71,264.94,-40.44,0,0,,Return on Networth / Equity (%),-104.16,-123.1,-153.75,-27.22,-33.56,,Return on Networth / Equity (%),-109.99,-11.93,14.89,-19.04,
Return on Capital Employed (%),33.8,27.58,17.2,14.65,4.33,,Return on Capital Employed (%),29.31,-12.22,-43.65,-5.17,-9.68,,Return on Capital Employed (%),-36.06,-10.82,13.88,-19.04,
Return on Assets (%),10.87,9.12,2.36,-0.08,-2.64,,Return on Assets (%),-2.12,-5.03,-13.8,-1.41,-2.11,,Return on Assets (%),-9.94,-2.18,3.18,-15.68,
Total Debt/Equity (X),1.55,6.63,-5.17,-4.01,-3.44,,Total Debt/Equity (X),14.47,5.16,3.64,2.62,3.37,,Total Debt/Equity (X),2.29,0.98,0.84,0,
Asset Turnover Ratio (%),1.5,1.41,1.32,112.88,123.67,,Asset Turnover Ratio (%),121.14,102.3,99.11,108.73,97.31,,Asset Turnover Ratio (%),96.73,100.4,108.14,0,
Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,
Current Ratio (X),1.44,1.22,1.1,1.03,1.01,,Current Ratio (X),0.78,0.76,0.86,1.12,1.05,,Current Ratio (X),1.09,0.99,0.99,5.56,
Quick Ratio (X),1.05,0.83,0.78,0.74,0.71,,Quick Ratio (X),0.54,0.51,0.64,0.87,0.85,,Quick Ratio (X),0.89,0.85,0.8,5.56,
Inventory Turnover Ratio (X),4.48,4.66,4.63,5.89,6.34,,Inventory Turnover Ratio (X),5.74,4.84,5.74,6.13,6.19,,Inventory Turnover Ratio (X),6.76,8.75,7.28,0,
Dividend Payout Ratio (NP) (%),0,0,0,0,0,,Dividend Payout Ratio (NP) (%),0,0,0,0,0,,Dividend Payout Ratio (NP) (%),0,0,24.05,0,
Dividend Payout Ratio (CP) (%),0,0,0,0,0,,Dividend Payout Ratio (CP) (%),0,0,0,0,0,,Dividend Payout Ratio (CP) (%),0,0,15.61,0,
Earnings Retention Ratio (%),0,0,0,0,0,,Earnings Retention Ratio (%),0,0,0,0,0,,Earnings Retention Ratio (%),0,0,75.95,0,
Cash Earnings Retention Ratio (%),0,0,0,0,0,,Cash Earnings Retention Ratio (%),0,0,0,0,0,,Cash Earnings Retention Ratio (%),0,0,84.39,0,
