Key Financial Ratios of Supreme Industries (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of Supreme Industries (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Jun-15,,Key Financial Ratios of Supreme Industries (in Rs. Cr.),Jun-14,Jun-13,Jun-12,Jun-11,Jun-10,,Key Financial Ratios of Supreme Industries (in Rs. Cr.),Jun-09,Jun-08,Jun-07,Jun-06,Jun-05,
Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,
Basic EPS (Rs.),80,60.18,63.91,63.09,39.08,,Basic EPS (Rs.),31.4,32.24,29.86,16.78,24.85,,Basic EPS (Rs.),22.15,21.44,18.93,13.77,57.01,,Basic EPS (Rs.),38.33,18.5,18.16,28.93,17.66,
Diluted EPS (Rs.),80,60.18,63.91,63.09,39.08,,Diluted EPS (Rs.),36.29,32.24,29.86,16.78,24.85,,Diluted EPS (Rs.),22.15,21.44,18.93,13.77,57.01,,Diluted EPS (Rs.),38.33,18.5,18.16,28.93,17.66,
Cash EPS (Rs.),103.47,80.9,81.97,79.82,55.26,,Cash EPS (Rs.),50.73,45.39,42,25.01,35.79,,Cash EPS (Rs.),30.14,27.87,24.64,18.72,77.84,,Cash EPS (Rs.),59,32.81,32.73,58.87,47,
Book Value [ExclRevalReserve]/Share (Rs.),354.07,302.62,266.66,225.83,167.85,,Book Value [ExclRevalReserve]/Share (Rs.),156.84,136.41,122.27,96.17,88.45,,Book Value [ExclRevalReserve]/Share (Rs.),75.86,63.07,50.39,38.43,148.3,,Book Value [ExclRevalReserve]/Share (Rs.),112.3,89.66,80.87,142.88,154.95,
Book Value [InclRevalReserve]/Share (Rs.),354.07,302.62,266.66,225.83,167.85,,Book Value [InclRevalReserve]/Share (Rs.),156.84,136.41,122.27,96.17,88.45,,Book Value [InclRevalReserve]/Share (Rs.),75.96,63.18,50.5,38.54,148.86,,Book Value [InclRevalReserve]/Share (Rs.),113.39,90.73,81.97,145.13,157.65,
Dividend / Share(Rs.),30,26,24,22,14,,Dividend / Share(Rs.),13,12,15,7.5,9,,Dividend / Share(Rs.),8,7.5,6,4.3,18,,Dividend / Share(Rs.),12,8,7.5,10,9,
Revenue from Operations/Share (Rs.),797.65,724.24,611.79,500.35,433.79,,Revenue from Operations/Share (Rs.),441.69,390.87,351.18,234.19,334.94,,Revenue from Operations/Share (Rs.),311.89,267.9,233.44,194.37,791.44,,Revenue from Operations/Share (Rs.),650.23,474.34,420.56,711.08,607.95,
PBDIT/Share (Rs.),131.15,100.89,103.1,102.34,67.19,,PBDIT/Share (Rs.),63.33,63.31,60.58,37.05,52.95,,PBDIT/Share (Rs.),47.16,42.46,38.01,28.9,118.89,,PBDIT/Share (Rs.),96.26,54.5,48.13,71.19,64.56,
PBIT/Share (Rs.),107.67,80.16,85.04,85.59,51.01,,PBIT/Share (Rs.),48.88,50.15,48.43,28.82,42.01,,PBIT/Share (Rs.),39.16,36.03,32.3,23.95,98.06,,PBIT/Share (Rs.),75.59,40.19,33.56,41.26,35.22,
