Key Financial Ratios of Welspun Corp (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of Welspun Corp (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of Welspun Corp (in Rs. Cr.),Mar-14,Mar-13,Mar-12,Mar-11,Mar-10,,Key Financial Ratios of Welspun Corp (in Rs. Cr.),Mar-09,Mar-08,Mar-07,Mar-06,Mar-05,
Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,
Basic EPS (Rs.),18.21,20.23,18.61,39.02,10.18,,Basic EPS (Rs.),-10.45,4.74,6.58,-3.54,-0.6,,Basic EPS (Rs.),-0.67,2.29,2.96,17.82,26.44,,Basic EPS (Rs.),12.44,19.69,10.18,4.76,3.16,
Diluted EPS (Rs.),18.15,20.17,18.57,38.92,10.15,,Diluted EPS (Rs.),-10.45,4.74,6.58,-3.54,-0.6,,Diluted EPS (Rs.),-0.67,2.29,2.96,16.94,26.44,,Diluted EPS (Rs.),12.44,19.69,10.18,4.76,3.16,
Cash EPS (Rs.),24.5,24.38,23.03,43.23,15.01,,Cash EPS (Rs.),-6.19,13.7,15.79,5.81,8.63,,Cash EPS (Rs.),7.91,10.73,10.94,25.9,33.68,,Cash EPS (Rs.),19.17,22.9,13.58,7.49,5.41,
Book Value [ExclRevalReserve]/Share (Rs.),136.2,132.76,117.05,103.72,59.81,,Book Value [ExclRevalReserve]/Share (Rs.),61.72,72.23,68.23,69.2,71.03,,Book Value [ExclRevalReserve]/Share (Rs.),74.3,167.45,157.84,149.15,134.41,,Book Value [ExclRevalReserve]/Share (Rs.),82.81,83.79,46.25,36.69,25.29,
Book Value [InclRevalReserve]/Share (Rs.),136.2,132.76,117.05,103.72,59.81,,Book Value [InclRevalReserve]/Share (Rs.),61.72,72.23,68.23,69.2,71.03,,Book Value [InclRevalReserve]/Share (Rs.),74.3,167.45,157.84,149.15,134.41,,Book Value [InclRevalReserve]/Share (Rs.),82.81,83.79,46.25,36.69,25.29,
Dividend / Share(Rs.),5,5,5,5,10.5,,Dividend / Share(Rs.),0.5,0.5,0.5,0.5,0.5,,Dividend / Share(Rs.),0.5,0.5,0.5,2,2,,Dividend / Share(Rs.),1.5,1.5,1,0.5,0,
Revenue from Operations/Share (Rs.),347.08,264.46,202.64,202.59,163.04,,Revenue from Operations/Share (Rs.),155.96,196.63,163.85,142.72,188.05,,Revenue from Operations/Share (Rs.),185.12,252.22,253.3,306.37,323.56,,Revenue from Operations/Share (Rs.),313.47,224.64,191.57,142.01,96.99,
PBDIT/Share (Rs.),36.9,36.9,30.16,56.65,26.33,,PBDIT/Share (Rs.),2.16,21.84,26.97,11.53,16.34,,PBDIT/Share (Rs.),16.05,25.47,22.29,42,55.38,,PBDIT/Share (Rs.),36.39,36.08,21.42,10.97,7.96,
PBIT/Share (Rs.),30.61,32.73,25.74,52.45,21.6,,PBIT/Share (Rs.),-2.1,12.88,17.76,2.2,7.12,,PBIT/Share (Rs.),7.47,16.76,14.2,33.91,48.14,,PBIT/Share (Rs.),29.67,32.87,18.02,8.24,5.71,
PBT/Share (Rs.),22.76,27.03,22.8,50.23,17.33,,PBT/Share (Rs.),-6.55,7.38,9.95,-5.07,-0.97,,PBT/Share (Rs.),-1.05,3.35,3.35,25.72,39.57,,PBT/Share (Rs.),18.96,30.05,15.67,7.01,4.68,
Net Profit/Share (Rs.),18.2,20.21,18.61,39.02,10.28,,Net Profit/Share (Rs.),-10.45,4.74,6.58,-3.52,-0.6,,Net Profit/Share (Rs.),-0.67,2.02,2.85,17.81,26.44,,Net Profit/Share (Rs.),12.44,19.69,10.18,4.76,3.16,
Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,
PBDIT Margin (%),10.63,13.95,14.88,27.96,16.14,,PBDIT Margin (%),1.38,11.1,16.46,8.07,8.69,,PBDIT Margin (%),8.66,10.09,8.8,13.71,17.11,,PBDIT Margin (%),11.6,16.06,11.18,7.72,8.2,
PBIT Margin (%),8.81,12.37,12.7,25.88,13.24,,PBIT Margin (%),-1.34,6.55,10.84,1.54,3.78,,PBIT Margin (%),4.03,6.64,5.6,11.06,14.87,,PBIT Margin (%),9.46,14.63,9.4,5.8,5.88,
PBT Margin (%),6.55,10.21,11.24,24.79,10.63,,PBT Margin (%),-4.19,3.75,6.06,-3.54,-0.51,,PBT Margin (%),-0.56,1.32,1.32,8.39,12.22,,PBT Margin (%),6.04,13.37,8.18,4.93,4.82,
Net Profit Margin (%),5.24,7.64,9.18,19.26,6.3,,Net Profit Margin (%),-6.7,2.41,4.01,-2.46,-0.31,,Net Profit Margin (%),-0.36,0.8,1.12,5.81,8.17,,Net Profit Margin (%),3.96,8.76,5.31,3.35,3.25,
Return on Networth / Equity (%),13.36,15.22,15.9,37.62,17.18,,Return on Networth / Equity (%),-16.93,6.56,9.64,-5.08,-0.84,,Return on Networth / Equity (%),-0.89,1.2,1.8,11.93,19.66,,Return on Networth / Equity (%),15.02,23.49,22.01,12.98,12.49,
Return on Capital Employed (%),16.17,22.4,16.79,37,23.81,,Return on Capital Employed (%),-2.28,10.84,13.14,-2.37,-0.37,,Return on Capital Employed (%),-0.4,0.69,0.89,5.98,12.42,,Return on Capital Employed (%),7.32,10.94,6.48,5.08,5.21,
Return on Assets (%),6.13,7.64,7.55,19.68,5.5,,Return on Assets (%),-6.3,2.28,2.77,-1.58,-0.22,,Return on Assets (%),-0.29,0.51,0.58,4.39,7.94,,Return on Assets (%),2.97,6.6,4.3,2.65,2.23,
Total Debt/Equity (X),0.35,0.43,0.31,0.2,0.49,,Total Debt/Equity (X),0.43,0.32,0.77,0.97,1.11,,Total Debt/Equity (X),1.08,0.62,0.72,0.87,0.72,,Total Debt/Equity (X),1.41,1.21,2.34,1.7,1.42,
Asset Turnover Ratio (%),1.24,1.04,0.91,1.05,87.34,,Asset Turnover Ratio (%),94.06,94.72,69.06,64.2,70.79,,Asset Turnover Ratio (%),81.14,63.76,52.17,75.68,97.19,,Asset Turnover Ratio (%),75.02,75.33,81.07,79.07,68.7,
Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,
Current Ratio (X),1.48,1.27,1.59,2.33,1.53,,Current Ratio (X),1.64,1.23,1.29,1.52,1.36,,Current Ratio (X),1.47,1.77,1.56,2.05,1.49,,Current Ratio (X),1.07,1.18,1.47,1.18,1.12,
Quick Ratio (X),0.99,0.77,1.26,1.96,0.98,,Quick Ratio (X),1.49,0.79,0.8,1.12,1.07,,Quick Ratio (X),1.15,1.24,1.12,1.45,0.96,,Quick Ratio (X),0.57,0.57,1.01,0.69,0.69,
Inventory Turnover Ratio (X),4.51,4.7,5.86,2.96,3.07,,Inventory Turnover Ratio (X),13.75,5.11,3.27,4.78,5.98,,Inventory Turnover Ratio (X),9.2,4.5,3.5,4.77,5.07,,Inventory Turnover Ratio (X),2.52,3.1,5.22,3.37,2.76,
Dividend Payout Ratio (NP) (%),27.45,24.68,26.86,1.28,102.23,,Dividend Payout Ratio (NP) (%),-4.78,10.53,7.59,-14.2,-83.78,,Dividend Payout Ratio (NP) (%),-74.94,24.76,17.53,11.23,7.56,,Dividend Payout Ratio (NP) (%),12.05,7.61,9.82,10.49,0,
Dividend Payout Ratio (CP) (%),20.39,20.46,21.7,1.15,70.01,,Dividend Payout Ratio (CP) (%),-8.07,3.64,3.16,8.6,5.79,,Dividend Payout Ratio (CP) (%),6.31,4.66,4.56,7.72,5.93,,Dividend Payout Ratio (CP) (%),7.82,6.54,7.36,6.67,0,
Earnings Retention Ratio (%),72.55,75.32,73.14,98.72,-2.23,,Earnings Retention Ratio (%),104.78,89.47,92.41,114.2,183.78,,Earnings Retention Ratio (%),174.94,75.24,82.47,88.77,92.44,,Earnings Retention Ratio (%),87.95,92.39,90.18,89.51,100,
Cash Earnings Retention Ratio (%),79.61,79.54,78.3,98.85,29.99,,Cash Earnings Retention Ratio (%),108.07,96.36,96.84,91.4,94.21,,Cash Earnings Retention Ratio (%),93.69,95.34,95.44,92.28,94.07,,Cash Earnings Retention Ratio (%),92.18,93.46,92.64,93.33,100,
Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,
Enterprise Value (Cr.),"14,405.17","6,247.37","5,305.75","4,039.70","2,225.33",,Enterprise Value (Cr.),"4,138.32","3,979.80","3,476.58","4,252.94","3,289.74",,Enterprise Value (Cr.),"3,856.58","3,614.25","5,008.53","6,268.68","6,640.82",,Enterprise Value (Cr.),"2,642.80","8,494.75","2,623.26","1,638.44",537.57,
EV/Net Operating Revenue (X),1.59,0.9,1,0.76,0.52,,EV/Net Operating Revenue (X),1,0.76,0.8,1.12,0.66,,EV/Net Operating Revenue (X),0.79,0.54,0.87,1,1,,EV/Net Operating Revenue (X),0.45,2.13,0.98,0.9,0.52,
EV/EBITDA (X),14.92,6.47,6.74,2.73,3.24,,EV/EBITDA (X),72.27,6.87,4.86,13.91,7.65,,EV/EBITDA (X),9.14,5.4,9.86,7.29,5.87,,EV/EBITDA (X),3.89,13.24,8.76,11.59,6.31,
MarketCap/Net Operating Revenue (X),1.49,0.76,0.83,0.69,0.38,,MarketCap/Net Operating Revenue (X),0.87,0.68,0.51,0.69,0.29,,MarketCap/Net Operating Revenue (X),0.37,0.2,0.53,0.67,0.84,,MarketCap/Net Operating Revenue (X),0.24,1.71,0.54,0.61,0.36,
Retention Ratios (%),72.54,75.31,73.13,98.71,-2.23,,Retention Ratios (%),104.78,89.46,92.4,114.2,183.78,,Retention Ratios (%),174.94,75.23,82.46,88.76,92.43,,Retention Ratios (%),87.94,92.38,90.17,89.5,100,
Price/BV (X),3.79,1.51,1.43,1.34,1.04,,Price/BV (X),2.2,1.86,1.22,1.42,0.76,,Price/BV (X),0.92,0.3,0.85,1.38,2.03,,Price/BV (X),0.9,4.57,2.25,2.37,1.39,
