Key Financial Ratios of Zen Technologies (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of Zen Technologies (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of Zen Technologies (in Rs. Cr.),Mar-14,Mar-13,Mar-12,Mar-11,Mar-10,,Key Financial Ratios of Zen Technologies (in Rs. Cr.),Mar-09,Mar-08,Mar-07,Mar-06,Mar-05,
Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,
Basic EPS (Rs.),15.61,4.75,0.25,0.52,7.84,,Basic EPS (Rs.),2.49,-0.05,0.93,0.3,2.04,,Basic EPS (Rs.),0.12,5.29,35.57,-2.34,18.95,,Basic EPS (Rs.),21.71,13.36,9.41,9.39,8.42,
Diluted EPS (Rs.),15.51,4.58,0.25,0.52,7.84,,Diluted EPS (Rs.),2.49,-0.05,0.93,0.3,2.04,,Diluted EPS (Rs.),0.12,5.29,35.57,-2.34,18.95,,Diluted EPS (Rs.),21.71,13.36,9.41,9.39,8.42,
Cash EPS (Rs.),16.25,5.28,0.72,1.02,8.33,,Cash EPS (Rs.),2.98,0.32,1.44,0.57,2.33,,Cash EPS (Rs.),2.16,7.36,36.81,-0.93,19.98,,Cash EPS (Rs.),22.56,14,10.19,10.09,9.64,
Book Value [ExclRevalReserve]/Share (Rs.),53.92,30.74,27.28,26.81,25.76,,Book Value [ExclRevalReserve]/Share (Rs.),18.28,15.35,15.5,14.57,14.39,,Book Value [ExclRevalReserve]/Share (Rs.),127.74,120.74,116.62,88.61,92.69,,Book Value [ExclRevalReserve]/Share (Rs.),76.75,55.8,40.69,33.65,26.54,
Book Value [InclRevalReserve]/Share (Rs.),53.92,30.74,27.28,26.81,25.76,,Book Value [InclRevalReserve]/Share (Rs.),18.28,15.35,15.5,14.57,14.39,,Book Value [InclRevalReserve]/Share (Rs.),127.74,120.74,116.62,88.61,92.69,,Book Value [InclRevalReserve]/Share (Rs.),76.75,55.8,40.69,33.65,26.54,
Dividend / Share(Rs.),1,0.2,0.1,0.1,0.4,,Dividend / Share(Rs.),0.3,0.1,0.15,0.1,0.35,,Dividend / Share(Rs.),1,1,6.5,1.5,4.5,,Dividend / Share(Rs.),4.5,3,2,2,1.5,
Revenue from Operations/Share (Rs.),51.2,20.3,6.75,6.23,19.05,,Revenue from Operations/Share (Rs.),11.95,5.05,8.03,6.82,10.18,,Revenue from Operations/Share (Rs.),60.07,41.75,114.56,19.59,58.77,,Revenue from Operations/Share (Rs.),73.74,33.03,29.12,26.27,24.92,
PBDIT/Share (Rs.),22.75,7.34,0.92,1.34,8.49,,PBDIT/Share (Rs.),3.32,0.33,2.04,0.92,3.14,,PBDIT/Share (Rs.),5.39,10.38,47.73,-0.48,23.17,,PBDIT/Share (Rs.),27.13,16.41,14.08,14.01,14.12,
PBIT/Share (Rs.),21.87,6.79,0.45,0.84,8,,PBIT/Share (Rs.),2.84,-0.04,1.57,0.65,2.84,,PBIT/Share (Rs.),3.35,8.31,46.49,-1.88,22.51,,PBIT/Share (Rs.),26.52,16.04,13.76,13.78,13.98,
PBT/Share (Rs.),21.94,6.78,0.23,0.71,7.59,,PBT/Share (Rs.),2.22,-0.35,1.2,0.38,2.57,,PBT/Share (Rs.),0.15,6.24,44.35,-3.3,22.22,,PBT/Share (Rs.),25.7,15.43,13.15,13.44,13.75,
Net Profit/Share (Rs.),15.38,4.73,0.25,0.52,7.84,,Net Profit/Share (Rs.),2.49,-0.05,0.96,0.3,2.04,,Net Profit/Share (Rs.),0.12,5.29,35.57,-2.34,18.95,,Net Profit/Share (Rs.),21.71,13.36,9.41,9.39,8.42,
Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,
PBDIT Margin (%),44.42,36.13,13.55,21.52,44.56,,PBDIT Margin (%),27.81,6.52,25.42,13.49,30.8,,PBDIT Margin (%),8.96,24.85,41.66,-2.44,39.43,,PBDIT Margin (%),36.78,49.69,48.35,53.34,56.65,
PBIT Margin (%),42.72,33.42,6.6,13.47,42,,PBIT Margin (%),23.73,-0.71,19.56,9.52,27.94,,PBIT Margin (%),5.58,19.9,40.58,-9.6,38.3,,PBIT Margin (%),35.95,48.56,47.25,52.45,56.08,
PBT Margin (%),42.85,33.4,3.47,11.46,39.84,,PBT Margin (%),18.53,-6.89,14.95,5.54,25.22,,PBT Margin (%),0.24,14.94,38.71,-16.85,37.8,,PBT Margin (%),34.84,46.7,45.14,51.17,55.17,
Net Profit Margin (%),30.03,23.31,3.76,8.26,41.16,,Net Profit Margin (%),20.85,-0.99,11.99,4.4,20.03,,Net Profit Margin (%),0.2,12.66,31.04,-11.92,32.24,,Net Profit Margin (%),29.43,40.43,32.29,35.73,33.8,
Return on Networth / Equity (%),28.52,15.4,0.93,1.92,30.44,,Return on Networth / Equity (%),13.64,-0.32,6.21,2.06,14.17,,Return on Networth / Equity (%),0.09,4.38,30.49,-2.63,20.44,,Return on Networth / Equity (%),28.28,23.93,23.11,27.9,31.73,
Return on Capital Employed (%),39.65,16.77,1.19,3.1,30.78,,Return on Capital Employed (%),14.47,-0.22,9.55,1.91,13.56,,Return on Capital Employed (%),0.09,4.29,29.64,-2.54,17.89,,Return on Capital Employed (%),23.73,20.72,20.81,25.71,29.27,
Return on Assets (%),17.98,8.43,0.56,1.83,28.35,,Return on Assets (%),8.6,-0.23,5.14,1.38,8.86,,Return on Assets (%),0.07,3.73,20.6,-2.04,14.11,,Return on Assets (%),18.3,16.54,14.68,18.74,22.37,
Total Debt/Equity (X),0,0.02,0.06,0,0,,Total Debt/Equity (X),0.25,0.05,0.05,0.33,0.35,,Total Debt/Equity (X),0.17,0.11,0.23,0.17,0.2,,Total Debt/Equity (X),0.18,0.22,0.32,0.14,0.07,
Asset Turnover Ratio (%),0.74,0.4,0.18,22.16,68.87,,Asset Turnover Ratio (%),0.47,23.64,42.93,31.54,44.25,,Asset Turnover Ratio (%),36.13,29.52,66.34,17.12,43.78,,Asset Turnover Ratio (%),62.19,40.92,45.46,52.46,66.19,
Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,
Current Ratio (X),2.26,2.69,4.09,13.44,8.05,,Current Ratio (X),1.84,2.18,4.42,2.28,2.03,,Current Ratio (X),2.93,4.74,2.34,2.87,3.4,,Current Ratio (X),2.89,3.47,2.55,2.95,3.27,
Quick Ratio (X),1.74,2.36,3.86,12.38,7.24,,Quick Ratio (X),1.36,1.9,3.96,2.06,1.79,,Quick Ratio (X),2.53,4.41,2.25,2.65,3.28,,Quick Ratio (X),2.73,3.37,2.47,2.83,3.16,
Inventory Turnover Ratio (X),2.07,2.3,1.24,5.41,14.2,,Inventory Turnover Ratio (X),1.59,3.37,7.83,5.38,5.23,,Inventory Turnover Ratio (X),4.71,7.12,24.29,3.83,16.71,,Inventory Turnover Ratio (X),17.84,20.94,19.67,15.27,25.03,
Dividend Payout Ratio (NP) (%),1.29,2.1,39.29,77.62,3.82,,Dividend Payout Ratio (NP) (%),4.01,-297.53,10.37,33.28,17.15,,Dividend Payout Ratio (NP) (%),826.73,18.9,18.27,-64.23,23.74,,Dividend Payout Ratio (NP) (%),20.73,22.46,21.26,21.3,17.8,
Dividend Payout Ratio (CP) (%),1.22,1.88,13.8,39.32,3.6,,Dividend Payout Ratio (CP) (%),3.35,47.53,6.96,17.5,15.01,,Dividend Payout Ratio (CP) (%),46.4,13.58,17.65,-160.66,22.51,,Dividend Payout Ratio (CP) (%),19.95,21.43,19.62,19.82,15.56,
Earnings Retention Ratio (%),98.71,97.9,60.71,22.38,96.18,,Earnings Retention Ratio (%),95.99,397.53,89.63,66.72,82.85,,Earnings Retention Ratio (%),-726.73,81.1,81.73,164.23,76.26,,Earnings Retention Ratio (%),79.27,77.54,78.74,78.7,82.2,
Cash Earnings Retention Ratio (%),98.78,98.12,86.2,60.68,96.4,,Cash Earnings Retention Ratio (%),96.65,52.47,93.04,82.5,84.99,,Cash Earnings Retention Ratio (%),53.6,86.42,82.35,260.66,77.49,,Cash Earnings Retention Ratio (%),80.05,78.57,80.38,80.18,84.44,
Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,
Enterprise Value (Cr.),"7,884.43","2,463.37","1,564.11",585.12,157.82,,Enterprise Value (Cr.),592.1,837.93,484.85,537.2,436.82,,Enterprise Value (Cr.),44.45,24.29,111.83,99.86,136.68,,Enterprise Value (Cr.),56.22,118.29,34.41,112.98,109.58,
EV/Net Operating Revenue (X),18.32,15.26,29.12,11.8,1.07,,EV/Net Operating Revenue (X),6.42,21.51,7.82,10.21,5.56,,EV/Net Operating Revenue (X),0.96,0.65,1.1,5.74,2.62,,EV/Net Operating Revenue (X),0.89,4.42,1.55,5.64,5.76,
EV/EBITDA (X),41.24,42.23,214.81,54.84,2.41,,EV/EBITDA (X),23.08,329.43,30.76,75.65,18.05,,EV/EBITDA (X),10.69,2.63,2.64,-234.12,6.64,,EV/EBITDA (X),2.42,8.89,3.2,10.57,10.17,
MarketCap/Net Operating Revenue (X),18.65,16.13,30.31,12.48,1.19,,MarketCap/Net Operating Revenue (X),6.17,22.47,8.28,10.79,5.55,,MarketCap/Net Operating Revenue (X),1.5,1.58,1.17,6.53,3.09,,MarketCap/Net Operating Revenue (X),1.25,4.62,2.04,6.4,6.1,
Retention Ratios (%),98.7,97.89,60.7,22.37,96.17,,Retention Ratios (%),95.98,397.53,89.62,66.71,82.84,,Retention Ratios (%),-726.73,81.09,81.72,164.23,76.25,,Retention Ratios (%),79.26,77.53,78.73,78.69,82.19,
Price/BV (X),17.71,10.66,7.51,2.9,0.88,,Price/BV (X),4.04,7.39,4.29,5.05,3.92,,Price/BV (X),0.71,0.55,1.15,1.44,1.96,,Price/BV (X),1.2,2.73,1.46,5,5.72,
