Key Financial Ratios of Astral Limited (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of Astral Limited (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of Astral Limited (in Rs. Cr.),Mar-14,Mar-13,Mar-12,Mar-11,Mar-10,,Key Financial Ratios of Astral Limited (in Rs. Cr.),Mar-09,Mar-08,Mar-07,Mar-06,Mar-05,
Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,
Basic EPS (Rs.),20.49,16.67,20.15,16.27,13.33,,Basic EPS (Rs.),11.76,9.94,8.9,6.09,6.03,,Basic EPS (Rs.),13.74,26.48,17.69,14.95,24.94,,Basic EPS (Rs.),12.63,15.19,8.11,7.12,7.18,
Diluted EPS (Rs.),20.49,16.67,20.15,16.27,13.33,,Diluted EPS (Rs.),11.76,9.94,8.9,6.09,6.03,,Diluted EPS (Rs.),13.74,26.48,17.69,14.95,24.94,,Diluted EPS (Rs.),12.63,15.19,8.11,7.12,7.18,
Cash EPS (Rs.),26.25,21.76,25.36,21.05,19.25,,Cash EPS (Rs.),17.41,13.83,12.39,9.01,8.61,,Cash EPS (Rs.),17.54,34.34,23.64,19.72,32.6,,Cash EPS (Rs.),18.12,18.09,10.07,9.55,10.02,
Book Value [ExclRevalReserve]/Share (Rs.),116.3,99.56,99.76,81.79,88.11,,Book Value [ExclRevalReserve]/Share (Rs.),96.22,79.12,69.72,61.61,51.69,,Book Value [ExclRevalReserve]/Share (Rs.),55.8,107.06,82.04,65.66,104.04,,Book Value [ExclRevalReserve]/Share (Rs.),81.44,69.98,59.04,22.4,27.96,
Book Value [InclRevalReserve]/Share (Rs.),116.35,99.6,99.82,81.85,88.19,,Book Value [InclRevalReserve]/Share (Rs.),96.32,79.22,69.82,61.71,51.79,,Book Value [InclRevalReserve]/Share (Rs.),56.02,107.6,82.58,66.2,105.12,,Book Value [InclRevalReserve]/Share (Rs.),82.52,71.06,60.11,24.55,27.96,
Dividend / Share(Rs.),3.75,3.5,3,2,1,,Dividend / Share(Rs.),0.7,0.6,0.5,0.4,0.38,,Dividend / Share(Rs.),0.65,1.25,1.13,1.13,2,,Dividend / Share(Rs.),1,1,0,0,0,
Revenue from Operations/Share (Rs.),189.72,171.43,171.31,123.7,135.28,,Revenue from Operations/Share (Rs.),159.9,134.4,123.3,111.31,105.78,,Revenue from Operations/Share (Rs.),190.92,365.31,257.75,182.78,256.85,,Revenue from Operations/Share (Rs.),171.5,120.85,89.23,95.29,111.03,
PBDIT/Share (Rs.),33.89,28.81,32.96,27.62,25.21,,PBDIT/Share (Rs.),26.32,20.68,17.97,13.9,12.93,,PBDIT/Share (Rs.),27.26,50.56,38.14,25.48,40.56,,PBDIT/Share (Rs.),21.12,22.31,13.06,13.18,16.05,
PBIT/Share (Rs.),28.11,23.7,27.73,22.84,19.25,,PBIT/Share (Rs.),20.72,16.78,14.49,10.94,10.14,,PBIT/Share (Rs.),23.47,42.7,32.19,20.71,32.9,,PBIT/Share (Rs.),15.63,19.41,11.1,10.75,13.35,
PBT/Share (Rs.),27.33,22.34,27.19,21.85,16.85,,PBT/Share (Rs.),18.21,15.08,13.3,8.63,8.16,,PBT/Share (Rs.),18.04,34.67,22.41,18.77,29.17,,PBT/Share (Rs.),11.71,17.29,9.58,8.77,9.67,
Net Profit/Share (Rs.),20.46,16.65,20.14,16.26,13.3,,Net Profit/Share (Rs.),11.81,9.94,8.9,6.05,5.82,,Net Profit/Share (Rs.),13.74,26.48,17.69,14.95,24.94,,Net Profit/Share (Rs.),12.63,15.19,8.11,7.12,7.18,
Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,
PBDIT Margin (%),17.86,16.8,19.23,22.33,18.63,,PBDIT Margin (%),16.46,15.38,14.57,12.48,12.22,,PBDIT Margin (%),14.27,13.84,14.79,13.93,15.78,,PBDIT Margin (%),12.31,18.46,14.63,13.83,14.45,
PBIT Margin (%),14.81,13.82,16.18,18.46,14.23,,PBIT Margin (%),12.95,12.48,11.75,9.82,9.58,,PBIT Margin (%),12.29,11.68,12.48,11.32,12.8,,PBIT Margin (%),9.11,16.06,12.44,11.28,12.02,
