Key Financial Ratios of Bharat Heavy Electricals (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of Bharat Heavy Electricals (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of Bharat Heavy Electricals (in Rs. Cr.),Mar-14,Mar-13,Mar-12,Mar-11,Mar-10,,Key Financial Ratios of Bharat Heavy Electricals (in Rs. Cr.),Mar-09,Mar-08,Mar-07,Mar-06,Mar-05,
Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,
Basic EPS (Rs.),0.75,1.29,1.18,-7.8,-4.23,,Basic EPS (Rs.),3.33,2.2,1.35,-2.9,5.8,,Basic EPS (Rs.),2,27.03,28.76,24.56,88.06,,Basic EPS (Rs.),64.11,58.41,98.66,68.6,38.95,
Diluted EPS (Rs.),0.75,1.29,1.18,-7.8,-4.23,,Diluted EPS (Rs.),3.33,2.2,1.35,-2.9,5.8,,Diluted EPS (Rs.),2,27.03,28.76,24.56,88.06,,Diluted EPS (Rs.),64.11,58.41,98.66,68.6,38.95,
Cash EPS (Rs.),1.46,2.03,2.08,-6.44,-2.79,,Cash EPS (Rs.),4.83,4.34,5.49,0.92,10.2,,Cash EPS (Rs.),18.16,30.92,32.03,133.91,97.41,,Cash EPS (Rs.),70.94,64.48,108.65,78.65,47.89,
Book Value [ExclRevalReserve]/Share (Rs.),71.37,78.29,77.46,76.06,83.8,,Book Value [ExclRevalReserve]/Share (Rs.),90.27,88.8,131.94,131.48,139.26,,Book Value [ExclRevalReserve]/Share (Rs.),135.02,124.38,103.67,411.71,325.16,,Book Value [ExclRevalReserve]/Share (Rs.),264.32,220.1,359.06,298.31,246.24,
Book Value [InclRevalReserve]/Share (Rs.),71.37,78.29,77.46,76.06,83.8,,Book Value [InclRevalReserve]/Share (Rs.),90.27,88.8,131.94,131.48,139.26,,Book Value [InclRevalReserve]/Share (Rs.),135.02,124.38,103.67,411.71,325.16,,Book Value [InclRevalReserve]/Share (Rs.),264.32,220.1,359.06,298.31,246.24,
Dividend / Share(Rs.),0.25,0.4,0.4,0,0,,Dividend / Share(Rs.),2,1.82,1.58,0.4,1.16,,Dividend / Share(Rs.),2.83,5.41,6.4,31.15,23.3,,Dividend / Share(Rs.),17,15.25,24.5,14.5,8,
Revenue from Operations/Share (Rs.),68.62,67.1,60.92,49.71,61.63,,Revenue from Operations/Share (Rs.),87.37,78.79,116.22,108.83,123.32,,Revenue from Operations/Share (Rs.),159.78,197.85,196.02,863.02,678.75,,Revenue from Operations/Share (Rs.),543.68,399.19,709.38,549.17,393.81,
PBDIT/Share (Rs.),3.45,3.54,3.18,-7.94,1,,PBDIT/Share (Rs.),8.07,7.15,7.47,0.54,13.56,,PBDIT/Share (Rs.),25.07,42.95,45.65,196.23,144.67,,PBDIT/Share (Rs.),106.35,97.44,164.55,104.82,63.87,
PBIT/Share (Rs.),2.73,2.79,2.27,-9.3,-0.45,,PBIT/Share (Rs.),6.71,5.01,4,-3.29,9.16,,PBIT/Share (Rs.),21.05,39.05,42.38,185.12,135.32,,PBIT/Share (Rs.),99.52,91.37,154.56,94.77,54.93,
PBT/Share (Rs.),0.63,1.29,1.25,-10.37,-1.9,,PBT/Share (Rs.),5.88,4.32,2.57,-4.76,8.78,,PBT/Share (Rs.),20.51,38.54,42.17,184,134.63,,PBT/Share (Rs.),98.89,90.64,152.79,92.37,51.61,
Net Profit/Share (Rs.),0.75,1.29,1.18,-7.8,-4.23,,Net Profit/Share (Rs.),3.47,2.2,2.03,-2.9,5.8,,Net Profit/Share (Rs.),14.14,27.03,28.76,122.8,88.06,,Net Profit/Share (Rs.),64.11,58.41,98.66,68.6,38.95,
Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,
PBDIT Margin (%),5.02,5.27,5.21,-15.97,1.62,,PBDIT Margin (%),9.23,9.07,6.42,0.49,10.99,,PBDIT Margin (%),15.68,21.7,23.28,22.73,21.31,,PBDIT Margin (%),19.56,24.4,23.19,19.08,16.21,
PBIT Margin (%),3.98,4.15,3.73,-18.71,-0.72,,PBIT Margin (%),7.67,6.35,3.43,-3.02,7.42,,PBIT Margin (%),13.17,19.73,21.61,21.45,19.93,,PBIT Margin (%),18.3,22.88,21.78,17.25,13.94,
PBT Margin (%),0.92,1.92,2.06,-20.86,-3.08,,PBT Margin (%),6.73,5.47,2.2,-4.37,7.12,,PBT Margin (%),12.83,19.47,21.51,21.32,19.83,,PBT Margin (%),18.18,22.7,21.53,16.82,13.1,
Net Profit Margin (%),1.08,1.91,1.93,-15.69,-6.86,,Net Profit Margin (%),3.97,2.78,1.74,-2.66,4.7,,Net Profit Margin (%),8.84,13.65,14.67,14.22,12.97,,Net Profit Margin (%),11.79,14.63,13.9,12.49,9.89,
