Key Financial Ratios of Cummins India (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of Cummins India (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of Cummins India (in Rs. Cr.),Mar-14,Mar-13,Mar-12,Mar-11,Mar-10,,Key Financial Ratios of Cummins India (in Rs. Cr.),Mar-09,Mar-08,Mar-07,Mar-06,Mar-05,
Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,
Basic EPS (Rs.),59.91,40.76,31.99,22.29,22.7,,Basic EPS (Rs.),26.07,25.56,26.5,27.21,28.35,,Basic EPS (Rs.),21.65,27.57,21.33,21.32,22.42,,Basic EPS (Rs.),21.9,14.18,12.22,8.87,6.93,
Diluted EPS (Rs.),59.91,40.76,31.99,22.29,22.7,,Diluted EPS (Rs.),26.07,25.56,26.5,27.21,28.35,,Diluted EPS (Rs.),21.65,27.57,21.33,21.32,22.42,,Diluted EPS (Rs.),21.9,14.18,12.22,8.87,6.93,
Cash EPS (Rs.),65.59,45.83,36.82,26.82,26.98,,Cash EPS (Rs.),30.05,28.94,29.56,30.13,31.23,,Cash EPS (Rs.),23.55,29.27,22.84,31.7,24.24,,Cash EPS (Rs.),24.2,15.84,13.87,10.57,8.74,
Book Value [ExclRevalReserve]/Share (Rs.),222.33,193.65,175.06,158.97,150.61,,Book Value [ExclRevalReserve]/Share (Rs.),149.01,143.8,135,125.59,104.13,,Book Value [ExclRevalReserve]/Share (Rs.),92.54,86.1,73.71,91.23,78.84,,Book Value [ExclRevalReserve]/Share (Rs.),70.44,55.74,46.95,39.61,35.3,
Book Value [InclRevalReserve]/Share (Rs.),222.33,193.65,175.06,158.97,150.61,,Book Value [InclRevalReserve]/Share (Rs.),149.01,143.8,135,125.59,104.13,,Book Value [InclRevalReserve]/Share (Rs.),92.54,86.1,73.71,91.23,78.84,,Book Value [InclRevalReserve]/Share (Rs.),70.44,55.74,46.95,39.61,35.3,
Dividend / Share(Rs.),38,25,18.5,15,14,,Dividend / Share(Rs.),17,15,14,14,14,,Dividend / Share(Rs.),13,13,11,15,12,,Dividend / Share(Rs.),9,4.6,4,4,4,
Revenue from Operations/Share (Rs.),323.18,279.38,221.52,156.18,186.07,,Revenue from Operations/Share (Rs.),204.15,183.35,183.17,169.87,158.94,,Revenue from Operations/Share (Rs.),143.46,165.56,148.53,204.17,143.99,,Revenue from Operations/Share (Rs.),168,119.85,94.73,75.48,61.49,
PBDIT/Share (Rs.),84.02,59.98,42.3,34.26,33.11,,PBDIT/Share (Rs.),41.73,34.67,36.43,36.11,36.86,,PBDIT/Share (Rs.),31.55,37.58,29.6,42.61,32.78,,PBDIT/Share (Rs.),30.74,21.7,19.19,14.16,11.23,
PBIT/Share (Rs.),78.34,54.91,37.47,29.73,28.83,,PBIT/Share (Rs.),37.75,31.28,33.37,33.19,33.98,,PBIT/Share (Rs.),29.64,35.87,28.09,40.76,30.96,,PBIT/Share (Rs.),28.44,20.03,17.55,12.46,9.42,
