Key Financial Ratios of Elecon Engineering Company (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of Elecon Engineering Company (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of Elecon Engineering Company (in Rs. Cr.),Mar-14,Mar-13,Mar-12,Mar-11,Mar-10,,Key Financial Ratios of Elecon Engineering Company (in Rs. Cr.),Mar-09,Mar-08,Mar-07,Mar-06,Mar-05,
Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,
Basic EPS (Rs.),27.02,16.77,8.51,3.23,6.45,,Basic EPS (Rs.),1.08,0.72,1.88,3.35,3.05,,Basic EPS (Rs.),2.52,0.78,7.49,9.47,7.21,,Basic EPS (Rs.),5.92,7.24,17.75,48.91,17.33,
Diluted EPS (Rs.),27.02,16.77,8.51,3.23,6.45,,Diluted EPS (Rs.),1.08,0.72,1.88,3.35,3.05,,Diluted EPS (Rs.),2.52,0.78,7.49,9.47,7.21,,Diluted EPS (Rs.),5.92,7.24,17.75,48.91,17.33,
Cash EPS (Rs.),30.7,20.27,11.92,7,10.35,,Cash EPS (Rs.),4.96,5,6.17,8.46,7.78,,Cash EPS (Rs.),6.69,5.44,12.06,13.71,10.85,,Cash EPS (Rs.),8.35,8.77,21.7,65.44,31.91,
Book Value [ExclRevalReserve]/Share (Rs.),120.1,96.2,80.89,73.03,69.72,,Book Value [ExclRevalReserve]/Share (Rs.),65.95,65.13,65,66.41,46.85,,Book Value [ExclRevalReserve]/Share (Rs.),45.14,50.93,47.9,42.49,35.12,,Book Value [ExclRevalReserve]/Share (Rs.),29.66,25.49,60.76,179.87,129.8,
Book Value [InclRevalReserve]/Share (Rs.),120.1,96.2,80.89,73.03,69.72,,Book Value [InclRevalReserve]/Share (Rs.),65.95,65.13,65,66.41,46.85,,Book Value [InclRevalReserve]/Share (Rs.),45.14,50.93,47.9,42.49,35.12,,Book Value [InclRevalReserve]/Share (Rs.),29.66,25.49,60.76,179.87,129.8,
Dividend / Share(Rs.),3,2,1.4,0.4,0.2,,Dividend / Share(Rs.),0.2,0.2,0.5,1.1,1.1,,Dividend / Share(Rs.),1,1,1.8,1.8,1.5,,Dividend / Share(Rs.),1.5,1.5,1.5,5,2.5,
Revenue from Operations/Share (Rs.),142.57,106.68,78.83,70.98,74.49,,Revenue from Operations/Share (Rs.),85,81.22,82.3,89.92,46.19,,Revenue from Operations/Share (Rs.),46.01,64.1,143.4,126.42,112.54,,Revenue from Operations/Share (Rs.),103.01,88.86,232.91,799.81,482.98,
PBDIT/Share (Rs.),40.4,26.47,17.27,13.8,10.21,,PBDIT/Share (Rs.),12.08,10.69,14.59,15.94,11.86,,PBDIT/Share (Rs.),10.8,12.26,22.63,22.6,18.77,,PBDIT/Share (Rs.),17.08,15.11,38.04,115.51,61.8,
PBIT/Share (Rs.),36.73,22.97,13.86,10.03,6.32,,PBIT/Share (Rs.),8.19,6.4,10.3,10.83,7.12,,PBIT/Share (Rs.),6.63,7.74,18.07,18.36,15.21,,PBIT/Share (Rs.),14.7,13.58,34.09,98.99,47.22,
PBT/Share (Rs.),36.2,21.97,11.02,5.19,0.11,,PBT/Share (Rs.),2.48,0.45,4.68,5.1,4.37,,PBT/Share (Rs.),3.58,1.62,11.83,12.96,9.73,,PBT/Share (Rs.),9.49,10.63,27.82,74.49,30.83,
Net Profit/Share (Rs.),27.02,16.77,8.51,3.23,6.45,,Net Profit/Share (Rs.),1.08,0.72,1.88,3.35,3.05,,Net Profit/Share (Rs.),2.52,0.92,7.49,9.47,7.21,,Net Profit/Share (Rs.),5.92,7.24,17.75,48.91,17.33,
Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,
PBDIT Margin (%),28.33,24.81,21.91,19.44,13.71,,PBDIT Margin (%),14.2,13.16,17.72,17.72,25.67,,PBDIT Margin (%),23.46,19.12,15.78,17.87,16.68,,PBDIT Margin (%),16.58,17,16.33,14.44,12.79,
PBIT Margin (%),25.75,21.53,17.58,14.13,8.48,,PBIT Margin (%),9.63,7.88,12.51,12.04,15.42,,PBIT Margin (%),14.4,12.06,12.6,14.52,13.51,,PBIT Margin (%),14.26,15.28,14.63,12.37,9.77,
