Key Financial Ratios of Godawari Power & Ispat (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of Godawari Power & Ispat (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of Godawari Power & Ispat (in Rs. Cr.),Mar-14,Mar-13,Mar-12,Mar-11,Mar-10,,Key Financial Ratios of Godawari Power & Ispat (in Rs. Cr.),Mar-09,Mar-08,Mar-07,Mar-06,Mar-05,
Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,
Basic EPS (Rs.),69.8,58.5,99.01,177.59,34.45,,Basic EPS (Rs.),60.52,51.64,-23.64,-19.35,18.96,,Basic EPS (Rs.),17.08,39.05,24.86,22.44,18.31,,Basic EPS (Rs.),20.43,33.84,21.02,23.03,14.93,
Diluted EPS (Rs.),69.3,58.5,99.01,177.59,34.45,,Diluted EPS (Rs.),60.52,51.64,-23.64,-19.35,18.96,,Diluted EPS (Rs.),17.08,37.86,24.86,22.44,18.31,,Diluted EPS (Rs.),20.43,33.84,21.02,23.03,14.93,
Cash EPS (Rs.),79.47,67.08,106.47,211.73,62.44,,Cash EPS (Rs.),89.05,79.57,0.22,2.32,39.06,,Cash EPS (Rs.),37.43,53.86,40.94,37.19,29.58,,Cash EPS (Rs.),29.85,42.48,25.4,26.85,20.45,
Book Value [ExclRevalReserve]/Share (Rs.),328.62,275.73,226.74,529.44,350.98,,Book Value [ExclRevalReserve]/Share (Rs.),315.88,254.27,200.72,231.06,250.41,,Book Value [ExclRevalReserve]/Share (Rs.),233.34,218.76,198.02,176.07,170.88,,Book Value [ExclRevalReserve]/Share (Rs.),154.34,136.83,82.56,60.39,39.11,
Book Value [InclRevalReserve]/Share (Rs.),328.62,275.73,226.74,529.44,350.98,,Book Value [InclRevalReserve]/Share (Rs.),315.88,254.27,200.72,231.06,250.41,,Book Value [InclRevalReserve]/Share (Rs.),233.34,218.76,198.02,176.07,170.88,,Book Value [InclRevalReserve]/Share (Rs.),154.34,136.83,82.56,60.39,39.11,
Dividend / Share(Rs.),5,4,11,18.5,0,,Dividend / Share(Rs.),0,0,0,0,1,,Dividend / Share(Rs.),2.5,2.5,2.5,2.5,2.5,,Dividend / Share(Rs.),2.5,4,3,1,1,
Revenue from Operations/Share (Rs.),383.59,387.32,371.92,"1,067.35",813.23,,Revenue from Operations/Share (Rs.),842.88,623.22,453.23,469.8,590.74,,Revenue from Operations/Share (Rs.),470.42,583.59,545.25,294.37,276.52,,Revenue from Operations/Share (Rs.),369.75,294.22,178.37,144.58,106.9,
PBDIT/Share (Rs.),106.26,88.52,131.87,307.58,129.84,,PBDIT/Share (Rs.),182.53,129.13,51.85,46.18,85.42,,PBDIT/Share (Rs.),72.17,76.51,79.23,61.83,44.72,,PBDIT/Share (Rs.),44.58,57.71,34.91,25.14,24.58,
PBIT/Share (Rs.),96.58,79.94,124.41,279.3,102.99,,PBIT/Share (Rs.),156,102.9,28.93,24.51,65.33,,PBIT/Share (Rs.),51.81,60.56,63.15,47.09,33.45,,PBIT/Share (Rs.),35.17,49.07,30.53,21.37,19.1,
