Key Financial Ratios of Kirloskar Brothers (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of Kirloskar Brothers (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of Kirloskar Brothers (in Rs. Cr.),Mar-14,Mar-13,Mar-12,Mar-11,Mar-10,,Key Financial Ratios of Kirloskar Brothers (in Rs. Cr.),Mar-09,Mar-08,Mar-07,Mar-06,Mar-05,
Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,
Basic EPS (Rs.),30.65,19.42,9.85,11.74,9.97,,Basic EPS (Rs.),11,8.26,4.16,1.49,1.07,,Basic EPS (Rs.),6.01,5.47,3.93,7.73,14.81,,Basic EPS (Rs.),6.34,10.41,31.82,16.3,71.95,
Diluted EPS (Rs.),30.65,19.42,9.85,11.74,9.97,,Diluted EPS (Rs.),11,8.26,4.16,1.49,1.07,,Diluted EPS (Rs.),6.01,5.47,3.93,7.73,14.81,,Diluted EPS (Rs.),6.34,10.41,31.82,16.3,71.95,
Cash EPS (Rs.),36.83,24.56,14.97,16.56,15.01,,Cash EPS (Rs.),15.6,12.69,9.15,6.39,7.33,,Cash EPS (Rs.),10.37,9.51,7.75,11.52,18.15,,Cash EPS (Rs.),8.3,12.14,32.96,17.21,86.13,
Book Value [ExclRevalReserve]/Share (Rs.),182.88,157.62,141.72,134.52,122.99,,Book Value [ExclRevalReserve]/Share (Rs.),118.41,112.78,105.54,101.27,100.31,,Book Value [ExclRevalReserve]/Share (Rs.),100.82,98.11,94.99,93.7,89.92,,Book Value [ExclRevalReserve]/Share (Rs.),67.05,62.6,56.92,29.73,269.83,
Book Value [InclRevalReserve]/Share (Rs.),182.88,157.62,141.72,134.52,122.99,,Book Value [InclRevalReserve]/Share (Rs.),118.41,112.78,105.54,101.27,100.31,,Book Value [InclRevalReserve]/Share (Rs.),100.82,98.11,94.99,93.7,89.92,,Book Value [InclRevalReserve]/Share (Rs.),67.05,62.6,56.92,29.73,269.83,
Dividend / Share(Rs.),6,4.5,3,3,2.5,,Dividend / Share(Rs.),2.5,2.5,1,0.5,0.5,,Dividend / Share(Rs.),2.5,2,2,3.5,5.5,,Dividend / Share(Rs.),2,4,4,4,30,
Revenue from Operations/Share (Rs.),342.54,319.85,272.75,226.65,264.08,,Revenue from Operations/Share (Rs.),280.02,240.85,218.55,208.57,204.78,,Revenue from Operations/Share (Rs.),220.72,235.94,224.59,245.39,254.19,,Revenue from Operations/Share (Rs.),172.98,143.9,126.56,87,"1,032.29",
PBDIT/Share (Rs.),47.61,34.93,24.27,24.1,24.76,,PBDIT/Share (Rs.),23.55,19.24,15.67,10.4,12.16,,PBDIT/Share (Rs.),19.86,18.68,16.09,22.45,29.36,,PBDIT/Share (Rs.),14.11,17.5,20.34,18.4,98.91,
PBIT/Share (Rs.),41.43,29.59,19.14,19.28,19.72,,PBIT/Share (Rs.),18.94,14.81,10.68,5.5,5.9,,PBIT/Share (Rs.),15.5,14.64,12.27,18.67,26.02,,PBIT/Share (Rs.),12.15,15.78,19.2,17.6,87.3,
PBT/Share (Rs.),40.61,26.1,14,15.73,15.11,,PBT/Share (Rs.),15.64,11.63,6.71,0.81,0.7,,PBT/Share (Rs.),8.79,9.07,4.28,12.96,21.79,,PBT/Share (Rs.),9.29,14.19,18.41,16.89,76.29,
Net Profit/Share (Rs.),30.65,19.22,9.84,11.74,9.97,,Net Profit/Share (Rs.),11,8.26,4.16,1.49,1.07,,Net Profit/Share (Rs.),6.01,5.47,3.93,7.73,14.81,,Net Profit/Share (Rs.),6.34,10.41,31.82,16.3,71.95,
Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,
PBDIT Margin (%),13.89,10.92,8.89,10.63,9.37,,PBDIT Margin (%),8.4,7.98,7.17,4.98,5.93,,PBDIT Margin (%),8.99,7.91,7.16,9.15,11.55,,PBDIT Margin (%),8.15,12.16,16.07,21.14,9.58,
PBIT Margin (%),12.09,9.25,7.01,8.5,7.46,,PBIT Margin (%),6.76,6.14,4.88,2.63,2.88,,PBIT Margin (%),7.02,6.2,5.46,7.6,10.23,,PBIT Margin (%),7.02,10.96,15.16,20.22,8.45,
PBT Margin (%),11.85,8.16,5.13,6.93,5.72,,PBT Margin (%),5.58,4.82,3.07,0.38,0.34,,PBT Margin (%),3.98,3.84,1.9,5.28,8.57,,PBT Margin (%),5.36,9.85,14.54,19.41,7.39,
