Key Financial Ratios of Kirloskar Oil Engines (in Rs. Cr.),Mar-24,Mar-23,Mar-22,Mar-21,Mar-20,,Key Financial Ratios of Kirloskar Oil Engines (in Rs. Cr.),Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,,Key Financial Ratios of Kirloskar Oil Engines (in Rs. Cr.),Mar-14,Mar-13,Mar-12,Mar-11,Mar-10,
Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,
Basic EPS (Rs.),24.96,18.68,14.38,11.74,11.78,,Basic EPS (Rs.),15.56,10.38,12.01,9.72,9.9,,Basic EPS (Rs.),12.34,13.72,13.17,11.93,11.26,
Diluted EPS (Rs.),24.89,18.64,14.38,11.74,11.78,,Diluted EPS (Rs.),15.56,10.38,12.01,9.72,9.9,,Diluted EPS (Rs.),12.34,13.72,13.17,11.93,11.26,
Cash EPS (Rs.),31.64,24.53,19.73,16.04,16.39,,Cash EPS (Rs.),20.6,17.89,19.66,17.43,16.95,,Cash EPS (Rs.),19.14,20.15,19.44,17.75,17.03,
Book Value [ExclRevalReserve]/Share (Rs.),180.91,161.09,147.96,137.15,126.57,,Book Value [ExclRevalReserve]/Share (Rs.),122.76,113.23,111.81,99.57,92.77,,Book Value [ExclRevalReserve]/Share (Rs.),87.64,79.82,70.9,61.06,46.72,
Book Value [InclRevalReserve]/Share (Rs.),180.91,161.09,147.96,137.15,126.57,,Book Value [InclRevalReserve]/Share (Rs.),122.76,113.23,111.81,99.57,92.77,,Book Value [InclRevalReserve]/Share (Rs.),87.64,79.82,70.9,61.06,46.72,
Dividend / Share(Rs.),6,5,4,4,4,,Dividend / Share(Rs.),5,5,5,5,5,,Dividend / Share(Rs.),5,5,4,4,4,
Revenue from Operations/Share (Rs.),334.64,284.36,228.19,186.34,199,,Revenue from Operations/Share (Rs.),221.49,195.84,184.68,169.76,173.38,,Revenue from Operations/Share (Rs.),160.44,163,159.7,166.36,153.99,
PBDIT/Share (Rs.),40.82,31.38,20.3,21.32,19.31,,PBDIT/Share (Rs.),28.49,23.13,25.3,21.69,21.27,,PBDIT/Share (Rs.),23.66,26.66,23.38,24.18,23.64,
PBIT/Share (Rs.),34.12,25.53,14.96,17.02,14.7,,PBIT/Share (Rs.),23.45,15.62,17.64,13.98,14.22,,PBIT/Share (Rs.),16.86,20.26,17.11,18.35,17.87,
PBT/Share (Rs.),33.59,25.16,18.17,16,15.58,,PBT/Share (Rs.),23.2,15.39,17.45,12.22,14.21,,PBT/Share (Rs.),16.84,18.73,19.29,16.73,17.19,
Net Profit/Share (Rs.),24.95,18.67,14.39,11.74,11.78,,Net Profit/Share (Rs.),15.56,10.38,12.01,9.72,9.9,,Net Profit/Share (Rs.),12.34,13.75,13.17,11.93,11.26,
Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,
PBDIT Margin (%),12.19,11.03,8.89,11.44,9.7,,PBDIT Margin (%),12.86,11.8,13.69,12.77,12.26,,PBDIT Margin (%),14.74,16.35,14.63,14.53,15.35,
PBIT Margin (%),10.19,8.97,6.55,9.13,7.38,,PBIT Margin (%),10.58,7.97,9.55,8.23,8.2,,PBIT Margin (%),10.51,12.42,10.71,11.03,11.6,
PBT Margin (%),10.03,8.84,7.96,8.58,7.82,,PBT Margin (%),10.47,7.85,9.44,7.19,8.19,,PBT Margin (%),10.49,11.49,12.07,10.05,11.16,
Net Profit Margin (%),7.45,6.56,6.3,6.29,5.92,,Net Profit Margin (%),7.02,5.3,6.5,5.72,5.7,,Net Profit Margin (%),7.69,8.43,8.24,7.16,7.31,
Return on Networth / Equity (%),13.79,11.58,9.72,8.55,9.3,,Return on Networth / Equity (%),12.67,9.16,10.73,9.76,10.67,,Return on Networth / Equity (%),14.08,17.22,18.57,19.53,24.1,
Return on Capital Employed (%),17.81,15.3,9.56,11.94,11.15,,Return on Capital Employed (%),18.43,13.31,10.31,9.37,10.14,,Return on Capital Employed (%),13.36,16.03,15.64,15.01,16.43,
Return on Assets (%),9.22,8.09,6.9,5.96,6.93,,Return on Assets (%),9.23,6.63,8,7.17,7.4,,Return on Assets (%),9.64,11.4,10.85,10.02,8.32,
Total Debt/Equity (X),0.08,0.03,0.05,0.04,0.01,,Total Debt/Equity (X),0.01,0.01,0.01,0,0,,Total Debt/Equity (X),0,0,0.08,0.19,0.4,
Asset Turnover Ratio (%),1.34,1.3,1.13,94.75,117.04,,Asset Turnover Ratio (%),131.39,125.09,123.08,125.33,129.74,,Asset Turnover Ratio (%),125.33,135.19,131.58,139.79,113.85,
Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,
Current Ratio (X),1.45,1.42,1.81,1.73,2.05,,Current Ratio (X),2.68,2.59,3.36,2.9,2.4,,Current Ratio (X),2.19,2.03,2,1.77,1.21,
Quick Ratio (X),0.99,0.92,1.41,1.39,1.51,,Quick Ratio (X),2.27,2.12,2.89,2.46,2.07,,Quick Ratio (X),1.87,1.66,1.76,1.53,1.06,
Inventory Turnover Ratio (X),4.86,5.29,5.49,10.16,9.58,,Inventory Turnover Ratio (X),13.23,10.7,11.81,12.1,14.61,,Inventory Turnover Ratio (X),13.91,12.5,17.59,17.55,15.98,
Dividend Payout Ratio (NP) (%),20.03,13.38,27.8,12.77,55.17,,Dividend Payout Ratio (NP) (%),32.14,72.25,0,51.45,50.51,,Dividend Payout Ratio (NP) (%),40.52,36.36,30.37,33.52,35.51,
Dividend Payout Ratio (CP) (%),15.79,10.19,20.27,9.35,39.66,,Dividend Payout Ratio (CP) (%),24.27,41.92,0,28.69,29.5,,Dividend Payout Ratio (CP) (%),26.12,24.81,20.57,22.52,23.48,
Earnings Retention Ratio (%),79.97,86.62,72.2,87.23,44.83,,Earnings Retention Ratio (%),67.86,27.75,0,48.55,49.49,,Earnings Retention Ratio (%),59.48,63.64,69.63,66.48,64.49,
Cash Earnings Retention Ratio (%),84.21,89.81,79.73,90.65,60.34,,Cash Earnings Retention Ratio (%),75.73,58.08,0,71.31,70.5,,Cash Earnings Retention Ratio (%),73.88,75.19,79.43,77.48,76.52,
Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,
Enterprise Value (Cr.),"12,565.23","5,742.29","1,974.77","2,417.54","1,256.15",,Enterprise Value (Cr.),"2,350.23","4,639.22","5,633.81","3,021.65","3,933.89",,Enterprise Value (Cr.),"2,830.89","2,440.65","2,183.51","2,362.00",0,
EV/Net Operating Revenue (X),2.59,1.4,0.6,0.9,0.44,,EV/Net Operating Revenue (X),0.73,1.64,2.11,1.23,1.57,,EV/Net Operating Revenue (X),1.22,1.04,0.94,0.97,0,
EV/EBITDA (X),21.24,12.64,6.73,7.84,4.5,,EV/EBITDA (X),5.7,13.87,15.4,9.63,12.79,,EV/EBITDA (X),8.27,6.33,6.41,6.71,0,
MarketCap/Net Operating Revenue (X),2.57,1.39,0.58,0.88,0.44,,MarketCap/Net Operating Revenue (X),0.79,1.66,2.11,1.25,1.58,,MarketCap/Net Operating Revenue (X),1.24,1.05,0.91,0.91,0,
Retention Ratios (%),79.96,86.61,72.19,87.22,44.82,,Retention Ratios (%),67.85,27.74,0,48.54,49.48,,Retention Ratios (%),59.47,63.63,69.62,66.47,64.48,
Price/BV (X),4.75,2.44,0.89,1.19,0.69,,Price/BV (X),1.42,2.86,3.49,2.13,2.95,,Price/BV (X),2.28,2.14,2.06,2.49,0,
Price/Net Operating Revenue,2.57,1.39,0.58,0.88,0.44,,Price/Net Operating Revenue,0.79,1.66,2.11,1.25,1.58,,Price/Net Operating Revenue,1.24,1.05,0.91,0.91,0,
Earnings Yield,0.03,0.05,0.11,0.07,0.14,,Earnings Yield,0.09,0.03,0.03,0.05,0.04,,Earnings Yield,0.06,0.08,0.09,0.08,0,
