Key Financial Ratios of Siemens (in Rs. Cr.),Sep-24,Sep-23,Sep-22,Sep-21,Sep-20,,Key Financial Ratios of Siemens (in Rs. Cr.),Sep-19,Sep-18,Sep-17,Sep-16,Sep-15,,Key Financial Ratios of Siemens (in Rs. Cr.),Sep-14,Sep-13,Sep-12,Sep-11,Sep-10,,Key Financial Ratios of Siemens (in Rs. Cr.),Sep-09,Sep-08,Sep-07,Sep-06,Sep-05,
Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,,Per Share Ratios,,,,,,
Basic EPS (Rs.),74.84,53.67,42.98,30.97,21.24,,Basic EPS (Rs.),30.52,25.1,31.84,81.1,33.23,,Basic EPS (Rs.),16.94,5.45,9.75,24.95,24.53,,Basic EPS (Rs.),30.99,17.6,35.39,21.36,76.87,
Diluted EPS (Rs.),74.84,53.67,42.98,30.97,21.24,,Diluted EPS (Rs.),30.52,25.1,31.84,81.1,33.23,,Diluted EPS (Rs.),16.94,5.45,9.75,24.95,24.53,,Diluted EPS (Rs.),30.99,17.6,35.39,21.36,76.87,
Cash EPS (Rs.),81.33,59.97,48.89,37.39,28.28,,Cash EPS (Rs.),36.63,30.63,37.37,87.48,39.29,,Cash EPS (Rs.),23.38,12.48,15.98,29.3,27.54,,Cash EPS (Rs.),33.3,19.49,38.31,23.98,85.65,
Book Value [ExclRevalReserve]/Share (Rs.),428.29,365.86,325.73,290.55,266.12,,Book Value [ExclRevalReserve]/Share (Rs.),254.03,233.3,216.42,184.88,144.01,,Book Value [ExclRevalReserve]/Share (Rs.),122.88,113.18,116.28,112.04,103.11,,Book Value [ExclRevalReserve]/Share (Rs.),86.47,61.33,94.28,64.39,235.61,
Book Value [InclRevalReserve]/Share (Rs.),428.29,365.86,325.73,290.55,266.12,,Book Value [InclRevalReserve]/Share (Rs.),254.03,233.3,216.42,184.88,144.01,,Book Value [InclRevalReserve]/Share (Rs.),122.91,113.21,116.31,112.08,103.15,,Book Value [InclRevalReserve]/Share (Rs.),86.51,61.37,94.37,64.48,235.61,
Dividend / Share(Rs.),12,10,10,8,7,,Dividend / Share(Rs.),7,7,7,33.5,10,,Dividend / Share(Rs.),6,5,6,6,5,,Dividend / Share(Rs.),5,3,4.8,3.8,14.5,
Revenue from Operations/Share (Rs.),575.75,504.64,416.62,364.13,277.23,,Revenue from Operations/Share (Rs.),384.38,357.45,309.4,303.62,295.29,,Revenue from Operations/Share (Rs.),299.51,318.89,379.44,353.27,276.5,,Revenue from Operations/Share (Rs.),249.04,245.98,458.66,267.87,832.03,
PBDIT/Share (Rs.),106.91,78.34,54.02,47.15,36.52,,PBDIT/Share (Rs.),52.54,44.83,36.68,31.94,31.92,,PBDIT/Share (Rs.),19.61,12.79,27.86,42.28,40.66,,PBDIT/Share (Rs.),44.95,24.71,51.68,33.02,118.36,
PBIT/Share (Rs.),100.45,72.06,48.13,40.74,29.49,,PBIT/Share (Rs.),46.43,39.31,31.16,25.58,25.87,,PBIT/Share (Rs.),13.18,5.76,21.96,37.81,37.65,,PBIT/Share (Rs.),42.64,22.82,48.76,30.4,109.58,
PBT/Share (Rs.),98.81,71.49,47.2,40.19,28.67,,PBT/Share (Rs.),46.11,39.08,46.88,109.47,47.65,,PBT/Share (Rs.),23.7,6.14,17.64,37.44,37.33,,PBT/Share (Rs.),42.47,22.75,48.75,30.39,109.57,
Net Profit/Share (Rs.),74.86,53.69,43,30.98,21.25,,Net Profit/Share (Rs.),30.53,25.11,31.84,81.12,33.24,,Net Profit/Share (Rs.),16.94,5.45,10.08,24.83,24.53,,Net Profit/Share (Rs.),30.99,17.6,35.39,21.36,76.87,
Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,,Profitability Ratios,,,,,,
PBDIT Margin (%),18.56,15.52,12.96,12.94,13.17,,PBDIT Margin (%),13.66,12.54,11.85,10.52,10.81,,PBDIT Margin (%),6.54,4,7.34,11.96,14.7,,PBDIT Margin (%),18.04,10.04,11.26,12.32,14.22,
PBIT Margin (%),17.44,14.27,11.55,11.18,10.63,,PBIT Margin (%),12.07,10.99,10.07,8.42,8.76,,PBIT Margin (%),4.39,1.8,5.78,10.7,13.61,,PBIT Margin (%),17.12,9.27,10.63,11.34,13.17,
PBT Margin (%),17.16,14.16,11.32,11.03,10.34,,PBT Margin (%),11.99,10.93,15.15,36.05,16.13,,PBT Margin (%),7.91,1.92,4.65,10.59,13.5,,PBT Margin (%),17.05,9.25,10.62,11.34,13.16,
Net Profit Margin (%),13,10.63,10.32,8.5,7.66,,Net Profit Margin (%),7.94,7.02,10.29,26.71,11.25,,Net Profit Margin (%),5.65,1.7,2.65,7.02,8.87,,Net Profit Margin (%),12.44,7.15,7.71,7.97,9.23,
Return on Networth / Equity (%),17.47,14.67,13.2,10.66,7.98,,Return on Networth / Equity (%),12.01,10.76,14.71,43.87,23.08,,Return on Networth / Equity (%),13.78,4.81,8.66,22.15,23.79,,Return on Networth / Equity (%),35.84,28.69,37.53,33.17,32.62,
Return on Capital Employed (%),22.04,18.86,14.21,13.04,10.51,,Return on Capital Employed (%),17.67,16.3,13.92,42.24,21.51,,Return on Capital Employed (%),12.84,4.44,7.84,19.99,23.56,,Return on Capital Employed (%),35.4,28.25,36.91,32.52,31.75,
Return on Assets (%),10.93,8.88,7.84,6.34,4.82,,Return on Assets (%),7.14,6.27,8.63,24.59,11.23,,Return on Assets (%),5.87,1.97,3.22,8.3,7.29,,Return on Assets (%),10.77,7.38,10.28,8.12,9.01,
Total Debt/Equity (X),0,0,0,0,0,,Total Debt/Equity (X),0,0,0,0,0,,Total Debt/Equity (X),0,0,0,0,0,,Total Debt/Equity (X),0,0,0,0,0,
Asset Turnover Ratio (%),0.89,0.88,0.8,74.57,63,,Asset Turnover Ratio (%),89.96,89.3,83.93,92.05,99.85,,Asset Turnover Ratio (%),103.93,115.32,121.37,118.23,82.23,,Asset Turnover Ratio (%),86.58,103.25,133.3,101.91,97.58,
Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,,Liquidity Ratios,,,,,,
Current Ratio (X),2.32,2.09,1.94,1.97,2.2,,Current Ratio (X),2.12,1.95,1.99,1.85,1.54,,Current Ratio (X),1.33,1.21,1.19,1.27,1.25,,Current Ratio (X),1.24,1.14,1.13,1.05,1.1,
Quick Ratio (X),2.03,1.81,1.68,1.71,2.01,,Quick Ratio (X),1.93,1.75,1.79,1.65,1.35,,Quick Ratio (X),1.15,1.04,1.04,1.14,1.06,,Quick Ratio (X),1.09,1.01,0.95,0.91,0.94,
Inventory Turnover Ratio (X),1.71,1.65,1.63,8.18,8.92,,Inventory Turnover Ratio (X),12.5,11.17,10.84,10.82,11.06,,Inventory Turnover Ratio (X),10.18,12.16,13.7,14.89,6.08,,Inventory Turnover Ratio (X),8.64,10.88,10.32,9.33,8.4,
Dividend Payout Ratio (NP) (%),13.36,18.63,18.61,22.6,32.95,,Dividend Payout Ratio (NP) (%),22.93,27.88,18.85,41.3,30.09,,Dividend Payout Ratio (NP) (%),35.42,91.8,61.53,24.15,20.37,,Dividend Payout Ratio (NP) (%),16.13,17.04,13.56,17.78,18.86,
Dividend Payout Ratio (CP) (%),12.29,16.68,16.36,18.72,24.75,,Dividend Payout Ratio (CP) (%),19.11,22.85,16.06,38.3,25.45,,Dividend Payout Ratio (CP) (%),25.67,40.09,38.8,20.46,18.15,,Dividend Payout Ratio (CP) (%),15.01,15.39,12.53,15.84,16.92,
Earnings Retention Ratio (%),86.64,81.37,81.39,77.4,67.05,,Earnings Retention Ratio (%),77.07,72.12,81.15,58.7,69.91,,Earnings Retention Ratio (%),64.58,8.2,38.47,75.85,79.63,,Earnings Retention Ratio (%),83.87,82.96,86.44,82.22,81.14,
Cash Earnings Retention Ratio (%),87.71,83.32,83.64,81.28,75.25,,Cash Earnings Retention Ratio (%),80.89,77.15,83.94,61.7,74.55,,Cash Earnings Retention Ratio (%),74.33,59.91,61.2,79.54,81.85,,Cash Earnings Retention Ratio (%),84.99,84.61,87.47,84.16,83.08,
Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,,Valuation Ratios,,,,,,
Enterprise Value (Cr.),"2,48,889.20","1,23,581.84","92,337.48","70,894.48","39,475.18",,Enterprise Value (Cr.),"49,035.58","29,868.14","38,620.22","40,654.18","45,013.58",,Enterprise Value (Cr.),"28,320.20","16,414.78","23,157.84","27,255.50","25,798.98",,Enterprise Value (Cr.),"17,337.19","12,512.00","22,329.93","17,143.61","8,212.24",
EV/Net Operating Revenue (X),12.14,6.88,6.23,5.47,4,,EV/Net Operating Revenue (X),3.58,2.35,3.51,3.76,4.28,,EV/Net Operating Revenue (X),2.66,1.45,1.79,2.27,2.77,,EV/Net Operating Revenue (X),2.06,1.51,2.89,3.8,2.98,
EV/EBITDA (X),65.39,44.31,48.01,42.24,30.36,,EV/EBITDA (X),26.22,18.71,29.57,35.75,39.61,,EV/EBITDA (X),40.56,36.06,24.41,18.93,18.82,,EV/EBITDA (X),11.44,15.02,25.63,30.8,20.94,
MarketCap/Net Operating Revenue (X),12.58,7.28,6.65,5.84,4.56,,MarketCap/Net Operating Revenue (X),3.94,2.63,3.88,4.09,4.48,,MarketCap/Net Operating Revenue (X),2.76,1.5,1.87,2.37,2.97,,MarketCap/Net Operating Revenue (X),2.24,1.62,2.95,4,3.15,
Retention Ratios (%),86.63,81.36,81.38,77.39,67.04,,Retention Ratios (%),77.06,72.11,81.14,58.69,69.9,,Retention Ratios (%),64.57,8.19,38.46,75.84,79.62,,Retention Ratios (%),83.86,82.95,86.43,82.21,81.13,
Price/BV (X),16.92,10.04,8.5,7.32,4.75,,Price/BV (X),5.96,4.04,5.54,6.71,9.19,,Price/BV (X),6.73,4.22,6.1,7.48,7.95,,Price/BV (X),6.44,6.49,14.34,16.66,11.14,
Price/Net Operating Revenue,12.58,7.28,6.65,5.84,4.56,,Price/Net Operating Revenue,3.94,2.63,3.88,4.09,4.48,,Price/Net Operating Revenue,2.76,1.5,1.87,2.37,2.97,,Price/Net Operating Revenue,2.24,1.62,2.95,4,3.15,
Earnings Yield,0.01,0.01,0.02,0.01,0.02,,Earnings Yield,0.02,0.03,0.03,0.07,0.03,,Earnings Yield,0.02,0.01,0.01,0.03,0.03,,Earnings Yield,0.06,0.04,0.03,0.02,0.03,
